Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,15717204,37558,616,2859,,15287,18796,239,3.9,18.2,,97.3,119.6
1961,16397000,38154,605,3033,,14832,19684,232.7,3.7,18.5,,90.5,120
1962,16970000,39846,657,2946,,15598,20645,234.8,3.9,17.4,,91.9,121.7
1963,17590000,42419,673,3080,,16458,22208,241.2,3.8,17.5,,93.6,126.3
1964,18084000,48026,740,3621,,18667,24998,265.6,4.1,20,,103.2,138.2
1965,18602000,52490,880,3948,,21081,26581,282.2,4.7,21.2,,113.3,142.9
1966,18918000,57718,868,4432,,22317,30101,305.1,4.6,23.4,,118,159.1
1967,19153000,67446,1039,4792,,28539,33076,352.1,5.4,25,,149,172.7
1968,19221000,81293,1150,5744,,36991,37408,422.9,6,29.9,,192.5,194.6
1969,19443000,89878,1386,7053,,39240,42199,462.3,7.1,36.3,,201.8,217
1970,19953134,94741,1376,7005,,41277,45083,474.8,6.9,35.1,,206.9,225.9
1971,20223000,104872,1642,7300,,47626,48304,518.6,8.1,36.1,,235.5,238.9
1972,20468000,110667,1791,8127,,48829,51920,540.7,8.8,39.7,,238.6,253.7
1973,20601000,116563,1862,8357,,49531,56813,565.8,9,40.6,,240.4,275.8
1974,20907000,127658,1985,8494,,52822,64357,610.6,9.5,40.6,,252.7,307.8
1975,21185000,138842,2209,8807,,59827,67999,655.4,10.4,41.6,,282.4,321
1976,21520000,144041,2220,9614,,59318,72889,669.3,10.3,44.7,,275.6,338.7
1977,21896000,154582,2515,10825,,62852,78390,706,11.5,49.4,,287,358
1978,22294000,165626,2611,11316,,68235,83464,742.9,11.7,50.8,,306.1,374.4
1979,22696000,184087,2952,12239,,75767,93129,811.1,13,53.9,,333.8,410.3
1980,23532680,210290,3411,13693,,90420,102766,893.6,14.5,58.2,,384.2,436.7
1981,24159000,208485,3143,13566,,93781,97995,863,13,56.2,,388.2,405.6
1982,24724000,201429,2779,12529,,91988,94133,814.7,11.2,50.7,,372.1,380.7
1983,25174000,194491,2639,12093,,85826,93933,772.6,10.5,48,,340.9,373.1
1984,25622000,195589,2717,11702,,83924,97246,763.4,10.6,45.7,,327.5,379.5
1985,26365000,201763,2770,11421,,86387,101185,765.3,10.5,43.3,,327.7,383.8
1986,26981000,248370,3038,12119,,92512,140701,920.5,11.3,44.9,,342.9,521.5
1987,27663000,253943,2924,12109,,83341,155569,918,10.6,43.8,,301.3,562.4
1988,28168000,261912,2936,11780,,86141,161055,929.8,10.4,41.8,,305.8,571.8
1989,29063000,284136,3158,11966,,96431,172581,977.7,10.9,41.2,,331.8,593.8
1990,29760021,311051,3553,12688,,112208,182602,1045.2,11.9,42.6,,377,613.6
1991,30380000,331122,3859,12896,,124939,189428,1089.9,12.7,42.4,,411.3,623.5
1992,30867000,345624,3921,12761,,130897,198045,1119.7,12.7,41.3,,424.1,641.6
1993,31211000,336381,4096,11766,,126436,194083,1077.8,13.1,37.7,,405.1,621.8
1994,31431000,318395,3703,10984,,112160,191548,1013,11.8,34.9,,356.8,609.4
1995,31589000,305154,3531,10554,,104611,186458,966,11.2,33.4,,331.2,590.3
1996,31878000,274996,2916,10244,,94222,167614,862.7,9.1,32.1,,295.6,525.8
1997,32268000,257582,2579,10189,,81468,163346,798.3,8,31.6,,252.5,506.2
1998,32667000,229883,2171,9782,,68782,149148,703.7,6.6,29.9,,210.6,456.6
1999,33145121,207879,2005,9363,,60039,136472,627.2,6,28.2,,181.1,411.7
2000,33871648,210531,2079,9785,,60249,138418,621.6,6.1,28.9,,177.9,408.7
2001,34600463,212867,2206,9960,,64614,136087,615.2,6.4,28.8,,186.7,393.3
2002,35001986,208388,2395,10198,,64968,130827,595.4,6.8,29.1,,185.6,373.8
2003,35462712,205551,2407,9994,,63770,129380,579.6,6.8,28.2,,179.8,364.8
2004,35842038,189175,2392,9615,,61768,115400,527.8,6.7,26.8,,172.3,322
2005,36154147,190178,2503,9392,,63622,114661,526,6.9,26,,176,317.1
2006,36457549,194483,2486,9235,,71142,111620,533.5,6.8,25.3,,195.1,306.2
2007,36553215,191561,2262,9046,,70706,109547,524.1,6.2,24.7,,193.4,299.7
2008,36756666,185329,2142,8903,,69388,104896,504.2,5.8,24.2,,188.8,285.4
2009,36961664,174934,1972,8713,,64093,100156,473.3,5.3,23.6,,173.4,271
2010,37338198,164133,1809,8331,,58116,95877,439.6,4.8,22.3,,155.6,256.8
2011,37683933,154943,1792,7665,,54291,91195,411.2,4.8,20.3,,144.1,242
2012,37999878,160944,1884,7837,,56521,94702,423.5,5,20.6,,148.7,249.2
2013,38431393,154739,1746,7464,10324,53640,89029,402.6,4.5,19.4,26.9,139.6,231.7
2014,38802500,153709,1699,8398,11527,48680,91803,396.1,4.4,21.6,29.7,125.5,236.6
