Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,1753947,2408,73,229,,1362,744,137.3,4.2,13.1,,77.7,42.4
1961,1781000,2659,83,230,,1633,713,149.3,4.7,12.9,,91.7,40
1962,1907000,2990,96,283,,1624,987,156.8,5,14.8,,85.2,51.8
1963,1961000,2555,94,285,,1340,836,130.3,4.8,14.5,,68.3,42.6
1964,1966000,3119,82,336,,1323,1378,158.6,4.2,17.1,,67.3,70.1
1965,1969000,3007,69,318,,1073,1547,152.7,3.5,16.2,,54.5,78.6
1966,1977000,3340,79,343,,1064,1854,168.9,4,17.3,,53.8,93.8
1967,1975000,3789,81,412,,1342,1954,191.8,4.1,20.9,,67.9,98.9
1968,2048000,5387,110,535,,1977,2765,263,5.4,26.1,,96.5,135
1969,2100000,6275,112,605,,2324,3234,298.8,5.3,28.8,,110.7,154
1970,2207259,7874,137,795,,2849,4093,356.7,6.2,36,,129.1,185.4
1971,2283000,8530,149,877,,3080,4424,373.6,6.5,38.4,,134.9,193.8
1972,2357000,9555,196,905,,3332,5122,405.4,8.3,38.4,,141.4,217.3
1973,2437000,10088,193,944,,3970,4981,414,7.9,38.7,,162.9,204.4
1974,2496000,10728,151,910,,4137,5530,429.8,6,36.5,,165.7,221.6
1975,2534000,11735,188,1051,,4412,6084,463.1,7.4,41.5,,174.1,240.1
1976,2583000,10770,176,873,,3608,6113,417,6.8,33.8,,139.7,236.7
1977,2619000,13407,166,1100,,4471,7670,511.9,6.3,42,,170.7,292.9
1978,2670000,13296,196,1323,,4251,7526,498,7.3,49.6,,159.2,281.9
1979,2772000,14472,161,1472,,4353,8486,522.1,5.8,53.1,,157,306.1
1980,2878407,15215,198,1510,,4608,8899,528.6,6.9,52.5,,160.1,309.2
1981,2963000,15755,239,1352,,4726,9438,531.7,8.1,45.6,,159.5,318.5
1982,3045000,15354,182,1356,,4587,9229,504.2,6,44.5,,150.6,303.1
1983,3139000,14955,202,1316,,3968,9469,476.4,6.4,41.9,,126.4,301.7
1984,3178000,14548,184,1238,,3623,9503,457.8,5.8,39,,114,299
1985,3231000,15219,189,1321,,4012,9697,471,5.8,40.9,,124.2,300.1
1986,3267000,17105,230,1382,,4731,10762,523.6,7,42.3,,144.8,329.4
1987,3296000,15409,191,1344,,3916,9958,467.5,5.8,40.8,,118.8,302.1
1988,3290000,15548,187,1269,,3250,10842,472.6,5.7,38.6,,98.8,329.5
1989,3317000,15636,146,1202,,2984,11304,471.4,4.4,36.2,,90,340.8
1990,3294394,17328,138,1521,,2985,12684,526,4.2,46.2,,90.6,385
1991,3377000,18887,199,1588,,3628,13472,559.3,5.9,47,,107.4,398.9
1992,3470000,20086,216,1641,,4180,14049,578.8,6.2,47.3,,120.5,404.9
1993,3566000,20229,206,1633,,4160,14230,567.3,5.8,45.8,,116.7,399
1994,3656000,18632,199,1579,,3910,12944,509.6,5.4,43.2,,106.9,354
1995,3747000,16494,216,1480,,3604,11194,440.2,5.8,39.5,,96.2,298.7
1996,3823000,15463,180,1765,,3755,9763,404.5,4.7,46.2,,98.2,255.4
1997,3893000,14139,157,1677,,3242,9063,363.2,4,43.1,,83.3,232.8
1998,3971000,15008,183,1883,,3238,9704,377.9,4.6,47.4,,81.5,244.4
1999,4056133,13811,185,1679,,3056,8891,340.5,4.6,41.4,,75.3,219.2
2000,4301261,14367,134,1774,,3034,9425,334,3.1,41.2,,70.5,219.1
2001,4430989,15492,158,1930,,3555,9849,349.6,3.6,43.6,,80.2,222.3
2002,4501051,15882,179,2066,,3579,10058,352.9,4,45.9,,79.5,223.5
2003,4547633,15757,185,1913,,3738,9921,346.5,4.1,42.1,,82.2,218.2
2004,4601821,17121,201,1945,,3739,11236,372,4.4,42.3,,81.3,244.2
2005,4663295,18498,173,2026,,3948,12351,397,3.7,43.4,,84.7,264.9
2006,4753377,18794,171,2158,,3824,12641,395.4,3.6,45.4,,80.4,265.9
2007,4861515,17101,155,2075,,3461,11410,351.8,3.2,42.7,,71.2,234.7
2008,4939456,17480,165,2151,,3404,11760,353.9,3.3,43.5,,68.9,238.1
2009,5024748,17022,159,2269,,3371,11223,338.8,3.2,45.2,,67.1,223.4
2010,5047692,16339,129,2230,,3164,10816,323.7,2.6,44.2,,62.7,214.3
2011,5116302,16085,155,2285,,3299,10346,314.4,3,44.7,,64.5,202.2
2012,5189458,15951,152,2122,,3392,10285,307.4,2.9,40.9,,65.4,198.2
2013,5272086,16099,174,2198,2963,3136,9826,305.4,3.3,41.7,56.2,59.5,186.4
2014,5355866,16554,151,2121,3039,3039,10325,309.1,2.8,39.6,56.7,56.7,192.8
