Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,2535234,928,41,103,,236,548,36.6,1.6,4.1,,9.3,21.6
1961,2614000,878,25,64,,238,551,33.6,1,2.4,,9.1,21.1
1962,2597000,938,34,81,,258,565,36.1,1.3,3.1,,9.9,21.8
1963,2666000,1192,47,88,,366,691,44.7,1.8,3.3,,13.7,25.9
1964,2766000,1773,49,152,,414,1158,64.1,1.8,5.5,,15,41.9
1965,2832000,1973,46,148,,546,1233,69.7,1.6,5.2,,19.3,43.5
1966,2875000,2146,57,172,,601,1316,74.6,2,6,,20.9,45.8
1967,2925000,2804,70,164,,941,1629,95.9,2.4,5.6,,32.2,55.7
1968,2959000,3825,73,238,,1332,2182,129.3,2.5,8,,45,73.7
1969,3000000,4415,86,260,,1696,2373,147.2,2.9,8.7,,56.5,79.1
1970,3032217,5167,106,276,,2136,2649,170.4,3.5,9.1,,70.4,87.4
1971,3081000,5968,96,367,,2563,2942,193.7,3.1,11.9,,83.2,95.5
1972,3082000,6138,100,275,,2437,3326,199.2,3.2,8.9,,79.1,107.9
1973,3076000,6421,102,342,,2589,3388,208.7,3.3,11.1,,84.2,110.1
1974,3088000,7045,101,345,,2850,3749,228.1,3.3,11.2,,92.3,121.4
1975,3095000,8308,120,385,,4069,3734,268.4,3.9,12.4,,131.5,120.6
1976,3117000,8516,97,448,,3831,4140,273.2,3.1,14.4,,122.9,132.8
1977,3108000,8774,132,521,,4026,4095,282.3,4.2,16.8,,129.5,131.8
1978,3099000,9762,129,533,,4798,4302,315,4.2,17.2,,154.8,138.8
1979,3115000,12902,131,752,,6021,5998,414.2,4.2,24.1,,193.3,192.6
1980,3095224,12768,146,670,,6749,5203,412.5,4.7,21.6,,218,168.1
1981,3132000,14033,168,687,,7709,5469,448.1,5.4,21.9,,246.1,174.6
1982,3153000,12597,164,692,,6574,5167,399.5,5.2,21.9,,208.5,163.9
1983,3138000,11767,129,627,,6296,4715,375,4.1,20,,200.6,150.3
1984,3154000,12422,122,759,,6009,5532,393.8,3.9,24.1,,190.5,175.4
1985,3174000,12758,120,763,,6032,5843,402,3.8,24,,190,184.1
1986,3189000,13578,148,760,,6129,6541,425.8,4.6,23.8,,192.2,205.1
1987,3211000,13455,156,800,,5720,6779,419,4.9,24.9,,178.1,211.1
1988,3241000,14759,174,849,,6080,7656,455.4,5.4,26.2,,187.6,236.2
1989,3239000,16576,190,892,,6956,8538,511.8,5.9,27.5,,214.8,263.6
1990,3287116,18201,166,918,,7717,9400,553.7,5.1,27.9,,234.8,286
1991,3291000,17761,187,960,,7384,9230,539.7,5.7,29.2,,224.4,280.5
1992,3281000,16252,166,884,,6918,8284,495.3,5.1,26.9,,210.9,252.5
1993,3277000,14949,206,800,,6447,7496,456.2,6.3,24.4,,196.7,228.7
1994,3275000,14916,215,806,,6150,7745,455.5,6.6,24.6,,187.8,236.5
1995,3275000,13293,150,776,,5345,7022,405.9,4.6,23.7,,163.2,214.4
1996,3274000,13490,158,755,,5552,7025,412,4.8,23.1,,169.6,214.6
1997,3270000,12781,124,740,,4999,6918,390.9,3.8,22.6,,152.9,211.6
1998,3274000,11993,135,728,,4379,6751,366.3,4.1,22.2,,133.8,206.2
1999,3282031,11342,107,654,,4054,6527,345.6,3.3,19.9,,123.5,198.9
2000,3405565,11058,98,678,,3832,6450,324.7,2.9,19.9,,112.5,189.4
2001,3434602,11492,105,639,,4183,6565,334.6,3.1,18.6,,121.8,191.1
2002,3458587,10807,84,740,,4069,5914,312.5,2.4,21.4,,117.6,171
2003,3486960,11045,112,698,,4212,6023,316.8,3.2,20,,120.8,172.7
2004,3498966,10113,100,755,,4188,5070,289,2.9,21.6,,119.7,144.9
2005,3500701,9542,105,712,,3933,4792,273,3,20.3,,112.3,136.9
2006,3504809,10505,137,696,,4460,5212,299.7,3.9,19.9,,127.3,148.7
2007,3502309,10547,113,690,,4303,5441,301.1,3.2,19.7,,122.9,155.4
2008,3501252,10737,132,680,,4043,5882,306.7,3.8,19.4,,115.5,168
2009,3518288,10588,106,657,,4001,5824,300.9,3,18.7,,113.7,165.5
2010,3575498,10083,133,595,,3553,5802,282,3.7,16.6,,99.4,162.3
2011,3586717,9889,129,689,,3689,5382,275.7,3.6,19.2,,102.9,150.1
2012,3591765,10183,117,933,,3709,5424,283.5,3.3,26,,103.3,151
2013,3599341,9439,91,647,891,3551,4906,262.2,2.5,18,24.8,98.7,136.3
2014,3596677,8522,86,571,782,3159,4495,236.9,2.4,15.9,21.7,87.8,125
