Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,4951560,11061,527,403,,4005,6126,223.4,10.6,8.1,,80.9,123.7
1961,5222000,11376,477,398,,3746,6755,217.8,9.1,7.6,,71.7,129.4
1962,5459000,10489,420,318,,3457,6294,192.1,7.7,5.8,,63.3,115.3
1963,5652000,12150,463,398,,4017,7272,215,8.2,7,,71.1,128.7
1964,5705000,16539,489,589,,4958,10503,289.9,8.6,10.3,,86.9,184.1
1965,5805000,17386,518,771,,5146,10951,299.5,8.9,13.3,,88.6,188.6
1966,5941000,20069,612,871,,5933,12653,337.8,10.3,14.7,,99.9,213
1967,5995000,23399,630,913,,7850,14006,390.3,10.5,15.2,,130.9,233.6
1968,6160000,27913,731,1113,,9849,16220,453.1,11.9,18.1,,159.9,263.3
1969,6354000,29411,720,1347,,10345,16999,462.9,11.3,21.2,,162.8,267.5
1970,6789443,33824,860,1509,,12636,18819,498.2,12.7,22.2,,186.1,277.2
1971,7041000,38575,933,1708,,13422,22512,547.9,13.3,24.3,,190.6,319.7
1972,7259000,40252,924,1920,,13745,23663,554.5,12.7,26.4,,189.4,326
1973,7678000,46419,1180,2447,,17069,25723,604.6,15.4,31.9,,222.3,335
1974,8090000,54821,1191,2910,,22263,28457,677.6,14.7,36,,275.2,351.8
1975,8357000,57540,1130,2986,,20031,33393,688.5,13.5,35.7,,239.7,399.6
1976,8421000,54597,903,3055,,15695,34944,648.3,10.7,36.3,,186.4,415
1977,8452000,58052,859,3348,,15885,37960,686.8,10.2,39.6,,187.9,449.1
1978,8594000,65792,949,3960,,17701,43182,765.6,11,46.1,,206,502.5
1979,8860000,73881,1084,4576,,22097,46124,833.9,12.2,51.6,,249.4,520.6
1980,9567112,94095,1387,5439,,34015,53254,983.5,14.5,56.9,,355.5,556.6
1981,10166000,98109,1522,5707,,35473,55407,965.1,15,56.1,,348.9,545
1982,10416000,93411,1409,5587,,31002,55413,896.8,13.5,53.6,,297.6,532
1983,10680000,88292,1199,5170,,28126,53797,826.7,11.2,48.4,,263.4,503.7
1984,10976000,95270,1264,5570,,30311,58125,868,11.5,50.7,,276.2,529.6
1985,11366000,106971,1296,6004,,35506,64165,941.1,11.4,52.8,,312.4,564.5
1986,11675000,121013,1371,6152,,42822,70668,1036.5,11.7,52.7,,366.8,605.3
1987,12023000,123168,1371,6032,,42869,72896,1024.4,11.4,50.2,,356.6,606.3
1988,12377000,138343,1416,6154,,49916,80857,1117.7,11.4,49.7,,403.3,653.3
1989,12671000,140575,1405,6299,,51188,81683,1109.4,11.1,49.7,,404,644.6
1990,12937926,160990,1379,6781,,53928,98902,1244.3,10.7,52.4,,416.8,764.4
1991,13277000,157243,1248,6865,,53083,96047,1184.3,9.4,51.7,,399.8,723.4
1992,13488000,162827,1208,7310,,49482,104827,1207.2,9,54.2,,366.9,777.2
1993,13679000,164975,1224,7359,,48913,107479,1206,8.9,53.8,,357.6,785.7
1994,13953000,160016,1165,7301,,45871,105679,1146.8,8.3,52.3,,328.8,757.4
1995,14166000,151711,1037,6887,,42485,101302,1071,7.3,48.6,,299.9,715.1
1996,14400000,151350,1077,7508,,41643,101122,1051,7.5,52.1,,289.2,702.2
1997,14654000,149996,1012,7599,,40459,100926,1023.6,6.9,51.9,,276.1,688.7
1998,14916000,140016,967,7404,,36198,95447,938.7,6.5,49.6,,242.7,639.9
1999,15111244,129044,859,6990,,31969,89226,854,5.7,46.3,,211.6,590.5
2000,15982378,129777,903,7057,,31809,90008,812,5.6,44.2,,199,563.2
2001,16373330,130713,874,6641,,32867,90331,798.3,5.3,40.6,,200.7,551.7
2002,16691701,128721,911,6753,,32581,88476,771.2,5.5,40.5,,195.2,530.1
2003,16999181,124280,924,6727,,31523,85106,731.1,5.4,39.6,,185.4,500.6
2004,17385430,123754,946,6612,,29997,86199,711.8,5.4,38,,172.5,495.8
2005,17768191,125957,883,6592,,30141,88341,709,5,37.1,,169.6,497.2
2006,18089888,129602,1129,6475,,34147,87851,716.4,6.2,35.8,,188.8,485.6
2007,18251243,131878,1202,6149,,38155,86372,722.6,6.6,33.7,,209.1,473.2
2008,18328340,126256,1168,5972,,36268,82848,688.9,6.4,32.6,,197.9,452
2009,18537969,113541,1017,5501,,30911,76112,612.5,5.5,29.7,,166.7,410.6
2010,18838613,101969,987,5373,,26086,69523,541.3,5.2,28.5,,138.5,369
2011,19082262,98198,984,5273,,25622,66319,514.6,5.2,27.6,,134.3,347.5
2012,19320749,94087,1009,5260,,23889,63929,487,5.2,27.2,,123.6,330.9
2013,19600311,91993,972,4765,6767,23200,61054,469.3,5,24.3,34.5,118.4,311.5
2014,19893297,107521,1149,6051,8563,24914,72895,540.5,5.8,30.4,43,125.2,366.4
