Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,667191,255,16,48,,92,99,38.2,2.4,7.2,,13.8,14.8
1961,684000,222,14,44,,64,100,32.5,2,6.4,,9.4,14.6
1962,698000,234,21,25,,63,125,33.5,3,3.6,,9,17.9
1963,713000,362,18,39,,87,218,50.8,2.5,5.5,,12.2,30.6
1964,692000,537,28,41,,71,397,77.6,4,5.9,,10.3,57.4
1965,692000,493,14,38,,70,371,71.2,2,5.5,,10.1,53.6
1966,694000,461,21,66,,54,320,66.4,3,9.5,,7.8,46.1
1967,699000,478,30,61,,76,311,68.4,4.3,8.7,,10.9,44.5
1968,705000,518,16,59,,83,360,73.5,2.3,8.4,,11.8,51.1
1969,718000,806,14,72,,120,600,112.3,1.9,10,,16.7,83.6
1970,713008,879,33,88,,146,612,123.3,4.6,12.3,,20.5,85.8
1971,732000,917,24,77,,163,653,125.3,3.3,10.5,,22.3,89.2
1972,756000,1085,29,118,,156,782,143.5,3.8,15.6,,20.6,103.4
1973,770000,1264,20,109,,207,928,164.2,2.6,14.2,,26.9,120.5
1974,799000,1465,45,128,,303,989,183.4,5.6,16,,37.9,123.8
1975,820000,1670,43,132,,344,1151,203.7,5.2,16.1,,42,140.4
1976,831000,1884,44,155,,332,1353,226.7,5.3,18.7,,40,162.8
1977,857000,2030,47,166,,339,1478,236.9,5.5,19.4,,39.6,172.5
1978,878000,2076,47,169,,351,1509,236.4,5.4,19.2,,40,171.9
1979,905000,2613,49,186,,392,1986,288.7,5.4,20.6,,43.3,219.4
1980,943629,2957,29,211,,442,2275,313.4,3.1,22.4,,46.8,241.1
1981,959000,2717,43,198,,362,2114,283.3,4.5,20.6,,37.7,220.4
1982,965000,2501,24,160,,292,2025,259.2,2.5,16.6,,30.3,209.8
1983,989000,2361,35,181,,270,1875,238.7,3.5,18.3,,27.3,189.6
1984,1001000,2355,34,187,,244,1890,235.3,3.4,18.7,,24.4,188.8
1985,1005000,2360,22,192,,269,1877,234.8,2.2,19.1,,26.8,186.8
1986,1003000,2232,32,201,,214,1785,222.5,3.2,20,,21.3,178
1987,998000,2138,31,175,,242,1690,214.2,3.1,17.5,,24.2,169.3
1988,999000,2345,36,179,,202,1928,234.7,3.6,17.9,,20.2,193
1989,1014000,2582,26,236,,152,2168,254.6,2.6,23.3,,15,213.8
1990,1006749,2776,27,275,,151,2323,275.7,2.7,27.3,,15,230.7
1991,1039000,3016,19,300,,215,2482,290.3,1.8,28.9,,20.7,238.9
1992,1067000,3003,37,339,,229,2398,281.4,3.5,31.8,,21.5,224.7
1993,1099000,3097,32,388,,186,2491,281.8,2.9,35.3,,16.9,226.7
1994,1133000,3238,40,316,,209,2673,285.8,3.5,27.9,,18.4,235.9
1995,1163000,3745,48,330,,279,3088,322,4.1,28.4,,24,265.5
1996,1189000,3177,43,313,,241,2580,267.2,3.6,26.3,,20.3,217
1997,1210000,3107,39,350,,237,2481,256.8,3.2,28.9,,19.6,205
1998,1229000,3468,36,386,,264,2782,282.2,2.9,31.4,,21.5,226.4
1999,1251700,3066,25,417,,223,2401,244.9,2,33.3,,17.8,191.8
2000,1293953,3267,16,384,,223,2644,252.5,1.2,29.7,,17.2,204.3
2001,1320585,3211,30,425,,245,2511,243.1,2.3,32.2,,18.6,190.1
2002,1343124,3419,36,497,,240,2646,254.6,2.7,37,,17.9,197
2003,1367034,3362,26,535,,245,2556,245.9,1.9,39.1,,17.9,187
2004,1395140,3452,31,594,,241,2586,247.4,2.2,42.6,,17.3,185.4
2005,1429367,3670,35,577,,266,2792,257,2.4,40.4,,18.6,195.3
2006,1466465,3666,35,611,,294,2726,250,2.4,41.7,,20,185.9
2007,1499402,3841,49,607,,243,2942,256.2,3.3,40.5,,16.2,196.2
2008,1523816,3680,23,579,,239,2839,241.5,1.5,38,,15.7,186.3
2009,1545801,3805,24,575,,254,2952,246.2,1.6,37.2,,16.4,191
2010,1571102,3464,22,533,,213,2696,220.5,1.4,33.9,,13.6,171.6
2011,1583744,3202,35,444,,188,2535,202.2,2.2,28,,11.9,160.1
2012,1595590,3348,30,495,,243,2580,209.8,1.9,31,,15.2,161.7
2013,1612843,3471,29,516,674,220,2548,215.2,1.8,32,41.8,13.6,158
2014,1634464,3468,32,468,609,204,2623,212.2,2,28.6,37.3,12.5,160.5
