Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,10081158,36802,489,1773,,21048,13492,365.1,4.9,17.6,,208.8,133.8
1961,10258000,37156,492,1767,,20977,13920,362.2,4.8,17.2,,204.5,135.7
1962,10146000,38926,537,1884,,20442,16063,383.7,5.3,18.6,,201.5,158.3
1963,10182000,33627,523,1416,,19193,12495,330.3,5.1,13.9,,188.5,122.7
1964,10489000,36916,572,1569,,19123,15652,351.9,5.5,15,,182.3,149.2
1965,10644000,34345,551,1706,,17535,14553,322.7,5.2,16,,164.7,136.7
1966,10722000,39116,745,1777,,19824,16770,364.8,6.9,16.6,,184.9,156.4
1967,10893000,42956,793,1953,,21879,18331,394.3,7.3,17.9,,200.9,168.3
1968,10974000,44776,893,1798,,23209,18876,408,8.1,16.4,,211.5,172
1969,11047000,49543,950,2113,,26153,20327,448.5,8.6,19.1,,236.7,184
1970,11113976,52006,1066,2270,,27908,20762,467.9,9.6,20.4,,251.1,186.8
1971,11196000,53436,1079,2418,,28900,21039,477.3,9.6,21.6,,258.1,187.9
1972,11251000,57162,985,2623,,29267,24287,508.1,8.8,23.3,,260.1,215.9
1973,11236000,62457,1163,2694,,30651,27949,555.9,10.4,24,,272.8,248.7
1974,11131000,69806,1319,3082,,34882,30523,627.1,11.8,27.7,,313.4,274.2
1975,11145000,74699,1179,2869,,36308,34343,670.2,10.6,25.7,,325.8,308.1
1976,11229000,70266,1161,2763,,32243,34099,625.8,10.3,24.6,,287.1,303.7
1977,11245000,70910,1109,2932,,31524,35345,630.6,9.9,26.1,,280.3,314.3
1978,11243000,76084,1108,3151,,32932,38893,676.7,9.9,28,,292.9,345.9
1979,11230000,83540,1203,3702,,36056,42579,743.9,10.7,33,,321.1,379.2
1980,11355062,91753,1205,3950,,41675,44923,808,10.6,34.8,,367,395.6
1981,11455000,90781,1205,3716,,42752,43108,792.5,10.5,32.4,,373.2,376.3
1982,11448000,88644,1005,3424,,39700,44515,774.3,8.8,29.9,,346.8,388.8
1983,11486000,83629,1112,3619,,36625,42273,728.1,9.7,31.5,,318.9,368
1984,11511000,83441,1033,3594,,34965,43849,724.9,9,31.2,,303.8,380.9
1985,11535000,82448,927,4529,,33120,43872,714.8,8,39.3,,287.1,380.3
1986,11533000,93454,1023,4765,,37583,50083,808.9,8.9,41.2,,325.3,433.5
1987,11582000,92216,967,4443,,36406,50400,796.2,8.3,38.4,,314.3,435.2
1988,11544000,93557,991,4449,,36097,52020,810.4,8.6,38.5,,312.7,450.6
1989,11658000,98611,1051,4161,,39138,54261,845.9,9,35.7,,335.7,465.4
1990,11430602,110575,1182,4505,,45038,59850,967.4,10.3,39.4,,394,523.6
1991,11543000,119955,1300,4615,,52653,61387,1039.2,11.3,40,,456.1,531.8
1992,11631000,113664,1322,4312,,47973,60057,977.3,11.4,37.1,,412.5,516.4
1993,11697000,112260,1332,4046,,44584,62298,959.7,11.4,34.6,,381.2,532.6
1994,11752000,112928,1378,3913,,43788,63849,960.9,11.7,33.3,,372.6,543.3
1995,11830000,117836,1221,4313,,39139,73163,996.1,10.3,36.5,,330.8,618.5
1996,11847000,105482,1179,4548,,33106,66649,890.4,10,38.4,,279.4,562.6
1997,11896000,102476,1096,4415,,33123,63842,861.4,9.2,37.1,,278.4,536.7
1998,12045000,97291,1008,4095,,29927,62261,807.7,8.4,34,,248.5,516.9
1999,12128370,83621,939,4297,,26365,52020,689.5,7.7,35.4,,217.4,428.9
2000,12419293,81196,898,3926,,25641,50731,653.8,7.2,31.6,,206.5,408.5
2001,12520227,79270,982,4010,,24931,49347,633.1,7.8,32,,199.1,394.1
2002,12586447,75759,961,4370,,25314,45114,601.9,7.6,34.7,,201.1,358.4
2003,12649087,70376,895,4189,,23786,41506,556.4,7.1,33.1,,188,328.1
2004,12712016,69365,780,4220,,22582,41783,545.7,6.1,33.2,,177.6,328.7
2005,12765427,70496,770,4313,,23255,42158,552,6,33.8,,182.2,330.3
2006,12831970,69498,780,4078,,23782,40858,541.6,6.1,31.8,,185.3,318.4
2007,12852548,68528,752,4103,,23100,40573,533.2,5.9,31.9,,179.7,315.7
2008,12901563,67780,790,4118,,24054,38818,525.4,6.1,31.9,,186.4,300.9
2009,12910409,64185,773,3901,,22923,36588,497.2,6,30.2,,177.6,283.4
2010,12841980,57132,704,3066,,20386,32976,444.9,5.5,23.9,,158.7,256.8
2011,12859752,54523,781,3030,,20217,30495,424,6.1,23.6,,157.2,237.1
2012,12868192,53556,770,3581,,19480,29725,416.2,6,27.8,,151.4,231
2013,12890552,51956,722,3895,5340,17733,28161,403.1,5.6,30.2,41.4,137.6,218.5
2014,12880580,47663,685,3081,4159,15299,27520,370,5.3,23.9,32.3,118.8,213.7
