Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,4662498,3945,204,240,,1609,1892,84.6,4.4,5.1,,34.5,40.6
1961,4711000,4044,192,250,,1829,1773,85.8,4.1,5.3,,38.8,37.6
1962,4715000,4191,167,289,,1814,1921,88.9,3.5,6.1,,38.5,40.7
1963,4694000,4819,130,380,,2219,2090,102.7,2.8,8.1,,47.3,44.5
1964,4825000,6564,147,505,,2802,3110,136,3,10.5,,58.1,64.5
1965,4885000,6695,173,516,,2802,3204,137.1,3.5,10.6,,57.4,65.6
1966,4918000,7196,197,520,,3089,3390,146.3,4,10.6,,62.8,68.9
1967,5000000,8143,188,633,,3933,3389,162.9,3.8,12.7,,78.7,67.8
1968,5067000,10229,243,741,,5119,4126,201.9,4.8,14.6,,101,81.4
1969,5118000,10141,255,864,,4788,4234,198.1,5,16.9,,93.6,82.7
1970,5193669,12184,253,1031,,5729,5171,234.6,4.9,19.9,,110.3,99.6
1971,5274000,13031,282,1025,,6646,5078,247.1,5.3,19.4,,126,96.3
1972,5291000,12968,321,1192,,5878,5577,245.1,6.1,22.5,,111.1,105.4
1973,5316000,13696,388,1239,,5785,6284,257.6,7.3,23.3,,108.8,118.2
1974,5330000,15631,427,1255,,7166,6783,293.3,8,23.5,,134.4,127.3
1975,5311000,17677,449,1291,,8328,7609,332.8,8.5,24.3,,156.8,143.3
1976,5302000,16721,377,1228,,6830,8286,315.4,7.1,23.2,,128.8,156.3
1977,5330000,16553,395,1412,,6565,8181,310.6,7.4,26.5,,123.2,153.5
1978,5374000,17383,334,1451,,6526,9072,323.5,6.2,27,,121.4,168.8
1979,5400000,18254,448,1681,,7167,8958,338,8.3,31.1,,132.7,165.9
1980,5461103,20633,485,1808,,7720,10620,377.8,8.9,33.1,,141.4,194.5
1981,5466000,18672,388,1616,,7050,9618,341.6,7.1,29.6,,129,176
1982,5471000,16444,355,1521,,5966,8602,300.6,6.5,27.8,,109,157.2
1983,5479000,15547,286,1509,,5474,8278,283.8,5.2,27.5,,99.9,151.1
1984,5498000,16781,303,1372,,5435,9671,305.2,5.5,25,,98.9,175.9
1985,5499000,17014,319,1318,,5065,10312,309.4,5.8,24,,92.1,187.5
1986,5504000,16937,329,1424,,4954,10230,307.7,6,25.9,,90,185.9
1987,5531000,18169,307,1609,,4901,11352,328.5,5.6,29.1,,88.6,205.2
1988,5575000,21187,358,1731,,4963,14135,380,6.4,31,,89,253.5
1989,5593000,22735,353,1804,,5671,14907,406.5,6.3,32.3,,101.4,266.5
1990,5544159,26275,344,2103,,5619,18209,473.9,6.2,37.9,,101.3,328.4
1991,5610000,28349,423,2318,,6506,19102,505.3,7.5,41.3,,116,340.5
1992,5662000,28791,464,2398,,6921,19008,508.5,8.2,42.4,,122.2,335.7
1993,5713000,27941,430,2234,,6845,18432,489.1,7.5,39.1,,119.8,322.6
1994,5752000,30205,453,2046,,7490,20216,525.1,7.9,35.6,,130.2,351.5
1995,5803000,30451,466,1930,,7844,20211,524.7,8,33.3,,135.2,348.3
1996,5841000,31366,420,1992,,7249,21705,537,7.2,34.1,,124.1,371.6
1997,5864000,30179,430,1928,,7763,20058,514.6,7.3,32.9,,132.4,342.1
1998,5899000,25423,454,1952,,6561,16456,431,7.7,33.1,,111.2,279
1999,5942901,22261,391,1607,,6496,13767,374.6,6.6,27,,109.3,231.7
2000,6080485,21230,352,1759,,6282,12837,349.1,5.8,28.9,,103.3,211.1
2001,6126743,22734,413,1716,,7171,13434,371.1,6.7,28,,117,219.3
2002,6156913,22001,362,1843,,6612,13184,357.3,5.9,29.9,,107.4,214.1
2003,6199571,21842,338,1720,,6401,13383,352.3,5.5,27.7,,103.2,215.9
2004,6226537,20294,316,1803,,6373,11802,325.9,5.1,29,,102.4,189.5
2005,6266019,20302,356,1856,,6809,11281,324,5.7,29.6,,108.7,180
2006,6313520,20303,361,1811,,7175,10956,321.6,5.7,28.7,,113.6,173.5
2007,6345289,21310,350,1738,,7845,11377,335.8,5.5,27.4,,123.6,179.3
2008,6376792,21525,322,1711,,7580,11912,337.6,5,26.8,,118.9,186.8
2009,6423113,21455,312,1621,,7347,12175,334,4.9,25.2,,114.4,189.5
2010,6490622,20983,268,1760,,6559,12396,323.3,4.1,27.1,,101.1,191
2011,6516353,21619,306,1758,,6977,12578,331.8,4.7,27,,107.1,193
2012,6537782,22544,307,1661,,6601,13975,344.8,4.7,25.4,,101,213.8
2013,6570713,23627,357,1623,2241,7114,13915,359.6,5.4,24.7,34.1,108.3,211.8
2014,6596855,24099,330,1615,2186,6897,14686,365.3,5,24.5,33.1,104.5,222.6
