Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,969265,289,16,48,,77,148,29.8,1.7,5,,7.9,15.3
1961,992000,334,16,58,,87,173,33.7,1.6,5.8,,8.8,17.4
1962,999000,277,14,28,,78,157,27.7,1.4,2.8,,7.8,15.7
1963,982000,306,19,36,,64,187,31.2,1.9,3.7,,6.5,19
1964,989000,506,15,77,,75,339,51.2,1.5,7.8,,7.6,34.3
1965,993000,437,21,43,,40,333,44,2.1,4.3,,4,33.5
1966,983000,486,22,48,,58,358,49.4,2.2,4.9,,5.9,36.4
1967,973000,621,4,58,,94,465,63.8,0.4,6,,9.7,47.8
1968,979000,633,29,66,,86,452,64.7,3,6.7,,8.8,46.2
1969,978000,733,16,58,,111,548,74.9,1.6,5.9,,11.3,56
1970,993663,887,15,70,,125,677,89.3,1.5,7,,12.6,68.1
1971,1003000,903,20,74,,144,665,90,2,7.4,,14.4,66.3
1972,1029000,1143,55,80,,217,791,111.1,5.3,7.8,,21.1,76.9
1973,1028000,1258,22,80,,213,943,122.4,2.1,7.8,,20.7,91.7
1974,1047000,1440,30,91,,292,1027,137.5,2.9,8.7,,27.9,98.1
1975,1059000,2324,30,110,,386,1798,219.5,2.8,10.4,,36.4,169.8
1976,1070000,2354,29,106,,406,1813,220,2.7,9.9,,37.9,169.4
1977,1085000,2438,26,147,,420,1845,224.7,2.4,13.5,,38.7,170
1978,1091000,2266,30,121,,359,1756,207.7,2.7,11.1,,32.9,161
1979,1097000,2221,31,131,,349,1710,202.5,2.8,11.9,,31.8,155.9
1980,1123670,2173,32,145,,346,1650,193.4,2.8,12.9,,30.8,146.8
1981,1132000,2214,36,145,,368,1665,195.6,3.2,12.8,,32.5,147.1
1982,1133000,1847,24,152,,345,1326,163,2.1,13.4,,30.5,117
1983,1146000,1829,24,193,,311,1301,159.6,2.1,16.8,,27.1,113.5
1984,1156000,1832,20,155,,305,1352,158.5,1.7,13.4,,26.4,117
1985,1164000,1950,28,167,,284,1471,167.5,2.4,14.3,,24.4,126.4
1986,1174000,1726,23,174,,328,1201,147,2,14.8,,27.9,102.3
1987,1187000,1806,30,186,,304,1286,152.1,2.5,15.7,,25.6,108.3
1988,1206000,1898,37,224,,311,1326,157.4,3.1,18.6,,25.8,110
1989,1222000,1676,39,229,,293,1115,137.2,3.2,18.7,,24,91.2
1990,1227928,1759,30,242,,308,1179,143.2,2.4,19.7,,25.1,96
1991,1235000,1631,15,270,,280,1066,132.1,1.2,21.9,,22.7,86.3
1992,1235000,1616,21,294,,288,1013,130.9,1.7,23.8,,23.3,82
1993,1239000,1558,20,329,,264,945,125.7,1.6,26.6,,21.3,76.3
1994,1240000,1611,28,318,,278,987,129.9,2.3,25.6,,22.4,79.6
1995,1241000,1631,25,265,,334,1007,131.4,2,21.4,,26.9,81.1
1996,1243000,1553,25,260,,292,976,124.9,2,20.9,,23.5,78.5
1997,1242000,1500,25,254,,257,964,120.8,2,20.5,,20.7,77.6
1998,1244000,1566,26,225,,263,1052,125.9,2.1,18.1,,21.1,84.6
1999,1253040,1404,25,239,,243,897,112,2,19.1,,19.4,71.6
2000,1274923,1397,15,320,,247,815,109.6,1.2,25.1,,19.4,63.9
2001,1284470,1435,19,326,,264,826,111.7,1.5,25.4,,20.6,64.3
2002,1294894,1396,14,377,,270,735,107.8,1.1,29.1,,20.9,56.8
2003,1309205,1422,16,354,,289,763,108.6,1.2,27,,22.1,58.3
2004,1314985,1364,18,315,,289,742,103.7,1.4,24,,22,56.4
2005,1318220,1483,19,326,,323,815,112,1.4,24.7,,24.5,61.8
2006,1321574,1533,23,341,,383,786,116,1.7,25.8,,29,59.5
2007,1317207,1565,20,392,,349,804,118.8,1.5,29.8,,26.5,61
2008,1316456,1572,31,379,,333,829,119.4,2.4,28.8,,25.3,63
2009,1318301,1580,26,375,,399,780,119.9,2,28.4,,30.3,59.2
2010,1327379,1621,24,389,,412,796,122.1,1.8,29.3,,31,60
2011,1328544,1638,26,394,,370,848,123.3,2,29.7,,27.9,63.8
2012,1328501,1626,26,372,,420,808,122.4,2,28,,31.6,60.8
2013,1328702,1761,24,366,495,335,907,132.5,1.8,27.5,37.3,25.2,68.3
2014,1330089,1700,21,360,485,304,890,127.8,1.6,27.1,36.5,22.9,66.9
