Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,5148578,2512,74,249,,1052,1137,48.8,1.4,4.8,,20.4,22.1
1961,5234000,2777,77,291,,1066,1343,53.1,1.5,5.6,,20.4,25.7
1962,5161000,3207,95,256,,1331,1525,62.1,1.8,5,,25.8,29.5
1963,5218000,3454,101,236,,1409,1708,66.2,1.9,4.5,,27,32.7
1964,5338000,4559,105,320,,1636,2498,85.4,2,6,,30.6,46.8
1965,5348000,5270,129,290,,2139,2712,98.5,2.4,5.4,,40,50.7
1966,5383000,6201,128,344,,2474,3255,115.2,2.4,6.4,,46,60.5
1967,5421000,6919,154,411,,2818,3536,127.6,2.8,7.6,,52,65.2
1968,5437000,8916,188,518,,4039,4171,164,3.5,9.5,,74.3,76.7
1969,5467000,10272,191,592,,4955,4534,187.9,3.5,10.8,,90.6,82.9
1970,5689170,11542,197,684,,5658,5003,202.9,3.5,12,,99.5,87.9
1971,5758000,15317,220,715,,8069,6313,266,3.8,12.4,,140.1,109.6
1972,5787000,17086,215,784,,8840,7247,295.2,3.7,13.5,,152.8,125.2
1973,5818000,20475,256,949,,10586,8684,351.9,4.4,16.3,,182,149.3
1974,5800000,22545,256,907,,12317,9065,388.7,4.4,15.6,,212.4,156.3
1975,5828000,25793,242,1121,,13229,11201,442.6,4.2,19.2,,227,192.2
1976,5809000,23190,194,1028,,10466,11502,399.2,3.3,17.7,,180.2,198
1977,5782000,24593,178,1203,,9822,13390,425.3,3.1,20.8,,169.9,231.6
1978,5774000,26673,216,1307,,9947,15203,462,3.7,22.6,,172.3,263.3
1979,5769000,30650,212,1428,,11724,17286,531.3,3.7,24.8,,203.2,299.6
1980,5728288,34444,232,1562,,13492,19158,601.3,4.1,27.3,,235.5,334.4
1981,5770000,36273,210,1580,,15633,18850,628.6,3.6,27.4,,270.9,326.7
1982,5781000,33031,219,1464,,12359,18989,571.4,3.8,25.3,,213.8,328.5
1983,5767000,33264,203,1495,,12023,19543,576.8,3.5,25.9,,208.5,338.9
1984,5798000,30362,211,1627,,10122,18402,523.7,3.6,28.1,,174.6,317.4
1985,5822000,31334,202,1734,,10974,18424,538.2,3.5,29.8,,188.5,316.5
1986,5832000,32476,208,1731,,11239,19298,556.9,3.6,29.7,,192.7,330.9
1987,5855000,33060,173,1868,,10379,20640,564.6,3,31.9,,177.3,352.5
1988,5871000,36376,208,1876,,10352,23940,619.6,3.5,32,,176.3,407.8
1989,5913000,39912,254,1881,,11980,25797,675,4.3,31.8,,202.6,436.3
1990,6016425,44300,243,2030,,13062,28965,736.3,4,33.7,,217.1,481.4
1991,5996000,44138,249,1926,,11669,30294,736.1,4.2,32.1,,194.6,505.2
1992,5998000,46727,214,2166,,11059,33288,779,3.6,36.1,,184.4,555
1993,6012000,48393,233,2006,,10563,35591,804.9,3.9,33.4,,175.7,592
1994,6041000,42749,214,1825,,10160,30550,707.6,3.5,30.2,,168.2,505.7
1995,6074000,41739,217,1759,,9137,30626,687.2,3.6,29,,150.4,504.2
1996,6092000,39122,157,1767,,7778,29420,642.2,2.6,29,,127.7,482.9
1997,6118000,39411,119,1647,,6676,30969,644.2,1.9,26.9,,109.1,506.2
1998,6147000,38192,124,1687,,5938,30443,621.3,2,27.4,,96.6,495.2
1999,6175169,34023,122,1663,,5931,26307,551,2,26.9,,96,426
2000,6349097,30230,125,1696,,5815,22594,476.1,2,26.7,,91.6,355.9
2001,6401164,30585,143,1856,,6476,22110,477.8,2.2,29,,101.2,345.4
2002,6421800,31137,173,1777,,7169,22018,484.9,2.7,27.7,,111.6,342.9
2003,6420357,30377,140,1848,,8011,20378,473.1,2.2,28.8,,124.8,317.4
2004,6407382,29489,171,1794,,7484,20040,460.2,2.7,28,,116.8,312.8
2005,6433367,29644,178,1751,,7837,19878,461,2.8,27.2,,121.8,309
2006,6437193,32217,188,1771,,8080,22178,500.5,2.9,27.5,,125.5,344.5
2007,6449755,28487,187,1643,,7021,19636,441.7,2.9,25.5,,108.9,304.4
2008,6497967,30137,166,1751,,7077,21143,463.8,2.6,26.9,,108.9,325.4
2009,6593587,30503,173,1734,,7467,21129,462.6,2.6,26.3,,113.2,320.4
2010,6555466,30737,214,1784,,6897,21842,468.9,3.3,27.2,,105.2,333.2
2011,6607003,28232,184,1654,,6768,19626,427.3,2.8,25,,102.4,297
2012,6645303,27047,121,1650,,6555,18721,407,1.8,24.8,,98.6,281.7
2013,6708874,27264,138,1722,2303,6705,18118,406.4,2.1,25.7,34.3,99.9,270.1
2014,6745408,26399,132,1629,2180,6036,18051,391.4,2,24.1,32.3,89.5,267.6
