Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,3413864,1435,42,81,,950,362,42,1.2,2.4,,27.8,10.6
1961,3470000,1505,34,94,,951,426,43.4,1,2.7,,27.4,12.3
1962,3475000,1674,33,124,,1028,489,48.2,0.9,3.6,,29.6,14.1
1963,3500000,1983,41,91,,1186,665,56.7,1.2,2.6,,33.9,19
1964,3521000,2601,51,157,,1285,1108,73.9,1.4,4.5,,36.5,31.5
1965,3554000,3074,50,186,,1433,1405,86.5,1.4,5.2,,40.3,39.5
1966,3576000,3691,79,261,,1765,1586,103.2,2.2,7.3,,49.4,44.4
1967,3582000,4727,58,309,,2402,1958,132,1.6,8.6,,67.1,54.7
1968,3646000,5111,81,398,,2959,1673,140.2,2.2,10.9,,81.2,45.9
1969,3700000,5253,69,424,,3016,1744,142,1.9,11.5,,81.5,47.1
1970,3805069,5782,75,369,,3389,1949,152,2,9.7,,89.1,51.2
1971,3881000,5993,95,468,,2987,2443,154.4,2.4,12.1,,77,62.9
1972,3896000,6798,95,571,,3290,2842,174.5,2.4,14.7,,84.4,72.9
1973,3897000,6926,107,579,,3455,2785,177.7,2.7,14.9,,88.7,71.5
1974,3917000,8119,118,692,,4079,3230,207.3,3,17.7,,104.1,82.5
1975,3926000,8125,129,730,,4069,3197,207,3.3,18.6,,103.6,81.4
1976,3965000,7492,92,726,,3189,3485,189,2.3,18.3,,80.4,87.9
1977,3975000,7705,106,774,,3413,3412,193.8,2.7,19.5,,85.9,85.8
1978,4008000,7601,81,797,,3411,3312,189.6,2,19.9,,85.1,82.6
1979,4060000,8973,93,871,,3754,4255,221,2.3,21.5,,92.5,104.8
1980,4061235,9250,106,942,,4025,4177,227.8,2.6,23.2,,99.1,102.9
1981,4090000,9344,85,1056,,4266,3937,228.5,2.1,25.8,,104.3,96.3
1982,4133000,9062,95,938,,4188,3841,219.3,2.3,22.7,,101.3,92.9
1983,4144000,7909,69,927,,3298,3615,190.9,1.7,22.4,,79.6,87.2
1984,4162000,8802,74,1051,,2960,4717,211.5,1.8,25.3,,71.1,113.3
1985,4193000,10751,88,1242,,3598,5823,256.4,2.1,29.6,,85.8,138.9
1986,4214000,11991,105,1338,,4299,6249,284.6,2.5,31.8,,102,148.3
1987,4246000,12118,112,1439,,4354,6213,285.4,2.6,33.9,,102.5,146.3
1988,4306000,12490,124,1337,,4079,6950,290.1,2.9,31,,94.7,161.4
1989,4353000,12549,111,1363,,4128,6947,288.3,2.5,31.3,,94.8,159.6
1990,4375099,13392,117,1487,,4057,7731,306.1,2.7,34,,92.7,176.7
1991,4432000,14006,131,1762,,4345,7768,316,3,39.8,,98,175.3
1992,4480000,15144,150,1840,,4906,8248,338,3.3,41.1,,109.5,184.1
1993,4517000,15986,155,2796,,5092,7943,353.9,3.4,61.9,,112.7,175.8
1994,4567000,16397,147,2725,,5370,8155,359,3.2,59.7,,117.6,178.6
1995,4610000,16416,182,2593,,5702,7939,356.1,3.9,56.2,,123.7,172.2
1996,4658000,15782,167,2327,,5385,7903,338.8,3.6,50,,115.6,169.7
1997,4686000,15827,129,2446,,5373,7879,337.8,2.8,52.2,,114.7,168.1
1998,4725000,14656,121,2358,,4371,7806,310.2,2.6,49.9,,92.5,165.2
1999,4775508,13085,134,2038,,3917,6996,274,2.8,42.7,,82,146.5
2000,4919479,13813,151,2240,,3713,7709,280.8,3.1,45.5,,75.5,156.7
2001,4984535,13145,119,2236,,3758,7032,263.7,2.4,44.9,,75.4,141.1
2002,5024791,13428,112,2273,,3937,7106,267.2,2.2,45.2,,78.4,141.4
2003,5064172,13316,127,2092,,3906,7191,262.9,2.5,41.3,,77.1,142
2004,5096546,13751,113,2123,,4070,7445,269.8,2.2,41.7,,79.9,146.1
2005,5126739,15243,115,2258,,4724,8146,297,2.2,44,,92.1,158.9
2006,5167101,16042,126,1645,,5441,8830,310.5,2.4,31.8,,105.3,170.9
2007,5197621,15054,116,1873,,4770,8295,289.6,2.2,36,,91.8,159.6
2008,5220393,13853,110,1805,,4179,7759,265.4,2.1,34.6,,80.1,148.6
2009,5266214,12874,74,1789,,3619,7392,244.5,1.4,34,,68.7,140.4
2010,5310658,12515,96,1798,,3388,7233,235.7,1.8,33.9,,63.8,136.2
2011,5347299,12323,75,2113,,3385,6750,230.5,1.4,39.5,,63.3,126.2
2012,5379646,12419,99,1638,,3475,7207,230.9,1.8,30.4,,64.6,134
2013,5422060,12710,114,1453,2014,3674,6908,234.4,2.1,26.8,37.1,67.8,127.4
2014,5457173,12505,88,1452,2001,3687,6729,229.1,1.6,26.6,36.7,67.6,123.3
