Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,674767,453,26,48,,186,193,67.1,3.9,7.1,,27.6,28.6
1961,682000,457,17,48,,173,219,67,2.5,7,,25.4,32.1
1962,709000,390,15,52,,141,182,55,2.1,7.3,,19.9,25.7
1963,707000,414,14,59,,146,195,58.6,2,8.3,,20.7,27.6
1964,705000,564,19,53,,110,382,80,2.7,7.5,,15.6,54.2
1965,706000,514,12,55,,112,335,72.8,1.7,7.8,,15.9,47.5
1966,702000,507,20,63,,125,299,72.2,2.8,9,,17.8,42.6
1967,701000,588,17,72,,150,349,83.9,2.4,10.3,,21.4,49.8
1968,693000,610,23,50,,126,411,88,3.3,7.2,,18.2,59.3
1969,694000,682,25,77,,154,426,98.3,3.6,11.1,,22.2,61.4
1970,694409,774,22,73,,155,524,111.5,3.2,10.5,,22.3,75.5
1971,708000,971,31,100,,203,637,137.1,4.4,14.1,,28.7,90
1972,719000,1079,18,78,,239,744,150.1,2.5,10.8,,33.2,103.5
1973,721000,1207,43,118,,262,784,167.4,6,16.4,,36.3,108.7
1974,735000,1194,31,90,,262,811,162.4,4.2,12.2,,35.6,110.3
1975,748000,1418,39,107,,310,962,189.6,5.2,14.3,,41.4,128.6
1976,753000,1358,38,102,,268,950,180.3,5,13.5,,35.6,126.2
1977,761000,1659,41,127,,298,1193,218,5.4,16.7,,39.2,156.8
1978,785000,1865,38,124,,289,1414,237.6,4.8,15.8,,36.8,180.1
1979,786000,1762,33,162,,260,1307,224.2,4.2,20.6,,33.1,166.3
1980,781592,1740,31,164,,266,1279,222.6,4,21,,34,163.6
1981,792000,2004,27,175,,302,1500,253,3.4,22.1,,38.1,189.4
1982,801000,1801,31,119,,265,1386,224.8,3.9,14.9,,33.1,173
1983,817000,1737,30,162,,192,1353,212.6,3.7,19.8,,23.5,165.6
1984,824000,1958,36,170,,226,1526,237.6,4.4,20.6,,27.4,185.2
1985,826000,1722,48,159,,173,1342,208.5,5.8,19.2,,20.9,162.5
1986,819000,1289,24,142,,160,963,157.4,2.9,17.3,,19.5,117.6
1987,809000,1223,33,160,,196,834,151.2,4.1,19.8,,24.2,103.1
1988,804000,989,21,135,,182,651,123,2.6,16.8,,22.6,81
1989,806000,935,23,145,,137,630,116,2.9,18,,17,78.2
1990,799065,1273,39,195,,173,866,159.3,4.9,24.4,,21.7,108.4
1991,808000,1130,21,160,,150,799,139.9,2.6,19.8,,18.6,98.9
1992,824000,1400,24,210,,222,944,169.9,2.9,25.5,,26.9,114.6
1993,839000,1489,25,234,,272,958,177.5,3,27.9,,32.4,114.2
1994,856000,1516,28,233,,280,975,177.1,3.3,27.2,,32.7,113.9
1995,870000,1491,35,231,,253,972,171.4,4,26.6,,29.1,111.7
1996,879000,1415,34,238,,261,882,161,3.9,27.1,,29.7,100.3
1997,879000,1161,42,171,,179,769,132.1,4.8,19.5,,20.4,87.5
1998,880000,1797,18,235,,232,1312,204.2,2,26.7,,26.4,149.1
1999,882779,2090,22,293,,239,1536,236.8,2.5,33.2,,27.1,174
2000,902195,2807,20,308,,203,2276,311.1,2.2,34.1,,22.5,252.3
2001,905382,3187,34,188,,230,2735,352,3.8,20.8,,25.4,302.1
2002,910372,3197,16,237,,283,2661,351.2,1.8,26,,31.1,292.3
2003,918157,3351,30,246,,298,2777,365,3.3,26.8,,32.5,302.5
2004,926920,2723,30,273,,233,2187,293.8,3.2,29.5,,25.1,235.9
2005,934737,2634,18,301,,177,2138,282,1.9,32.2,,18.9,228.7
2006,944632,3564,33,348,,233,2950,377.3,3.5,36.8,,24.7,312.3
2007,957861,3638,27,363,,233,3015,379.8,2.8,37.9,,24.3,314.8
2008,967440,3013,40,358,,204,2411,311.4,4.1,37,,21.1,249.2
2009,974989,2798,32,357,,228,2181,287,3.3,36.6,,23.4,223.7
2010,990958,2733,25,332,,154,2222,275.8,2.5,33.5,,15.5,224.2
2011,997667,2755,29,366,,171,2189,276.1,2.9,36.7,,17.1,219.4
2012,1005494,2803,29,392,,202,2180,278.8,2.9,39,,20.1,216.8
2013,1014864,2924,23,382,467,217,2217,288.1,2.3,37.6,46,21.4,218.5
2014,1023579,3313,37,430,541,203,2532,323.7,3.6,42,52.9,19.8,247.4
