Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,859488,316,9,20,,122,165,36.8,1,2.3,,14.2,19.2
1961,867000,372,9,15,,115,233,42.9,1,1.7,,13.3,26.9
1962,865000,402,7,18,,108,269,46.5,0.8,2.1,,12.5,31.1
1963,885000,500,12,20,,153,315,56.5,1.4,2.3,,17.3,35.6
1964,914000,578,11,25,,162,380,63.2,1.2,2.7,,17.7,41.6
1965,920000,722,19,35,,175,493,78.5,2.1,3.8,,19,53.6
1966,898000,849,13,45,,228,563,94.5,1.4,5,,25.4,62.7
1967,900000,1156,20,43,,283,810,128.4,2.2,4.8,,31.4,90
1968,913000,1254,22,34,,450,748,137.3,2.4,3.7,,49.3,81.9
1969,911000,1594,28,36,,669,861,175,3.1,4,,73.4,94.5
1970,949723,1944,30,34,,744,1136,204.7,3.2,3.6,,78.3,119.6
1971,960000,2129,29,54,,815,1231,221.8,3,5.6,,84.9,128.2
1972,968000,2424,13,80,,791,1540,250.4,1.3,8.3,,81.7,159.1
1973,973000,2749,33,81,,944,1691,282.5,3.4,8.3,,97,173.8
1974,937000,2651,36,69,,853,1693,282.9,3.8,7.4,,91,180.7
1975,927000,2802,28,101,,889,1784,302.3,3,10.9,,95.9,192.4
1976,927000,2779,22,79,,844,1834,299.8,2.4,8.5,,91,197.8
1977,935000,2820,34,98,,809,1879,301.6,3.6,10.5,,86.5,201
1978,935000,3255,37,103,,918,2197,348.1,4,11,,98.2,235
1979,929000,3485,30,141,,1019,2295,375.1,3.2,15.2,,109.7,247
1980,945835,3864,42,162,,1122,2538,408.5,4.4,17.1,,118.6,268.3
1981,952000,4205,40,170,,1257,2738,441.7,4.2,17.9,,132,287.6
1982,958000,3849,35,186,,1099,2529,401.8,3.7,19.4,,114.7,264
1983,955000,3392,26,160,,1078,2128,355.2,2.7,16.8,,112.9,222.8
1984,962000,3220,33,205,,1091,1891,334.7,3.4,21.3,,113.4,196.6
1985,968000,3355,35,253,,1122,1945,346.6,3.6,26.1,,115.9,200.9
1986,975000,3271,34,209,,1157,1871,335.5,3.5,21.4,,118.7,191.9
1987,986000,3547,35,241,,1062,2209,359.7,3.5,24.4,,107.7,224
1988,995000,3947,41,303,,1146,2457,396.7,4.1,30.5,,115.2,246.9
1989,998000,3772,49,266,,1122,2335,378,4.9,26.7,,112.4,234
1990,1003464,4334,48,248,,1224,2814,431.9,4.8,24.7,,122,280.4
1991,1004000,4638,37,310,,1234,3057,462,3.7,30.9,,122.9,304.5
1992,1005000,3965,36,311,,950,2668,394.5,3.6,30.9,,94.5,265.5
1993,1000000,4017,39,286,,1011,2681,401.7,3.9,28.6,,101.1,268.1
1994,997000,3744,41,273,,870,2560,375.5,4.1,27.4,,87.3,256.8
1995,990000,3643,33,267,,914,2429,368,3.3,27,,92.3,245.4
1996,990000,3437,25,287,,824,2301,347.2,2.5,29,,83.2,232.4
1997,987000,3292,25,363,,707,2197,333.5,2.5,36.8,,71.6,222.6
1998,988000,3084,24,351,,659,2050,312.1,2.4,35.5,,66.7,207.5
1999,990819,2840,36,391,,788,1625,286.6,3.6,39.5,,79.5,164
2000,1048319,3121,45,412,,922,1742,297.7,4.3,39.3,,88,166.2
2001,1059659,3278,39,416,,986,1837,309.3,3.7,39.3,,93,173.4
2002,1068326,3051,41,395,,916,1699,285.6,3.8,37,,85.7,159
2003,1076084,3074,25,505,,830,1714,285.7,2.3,46.9,,77.1,159.3
2004,1079916,2673,26,320,,731,1596,247.5,2.4,29.6,,67.7,147.8
2005,1073579,2710,34,323,,776,1577,252,3.2,30.1,,72.3,146.9
2006,1067610,2460,27,289,,740,1404,230.4,2.5,27.1,,69.3,131.5
2007,1057832,2424,19,258,,760,1387,229.1,1.8,24.4,,71.8,131.1
2008,1050788,2656,31,282,,880,1463,252.8,3,26.8,,83.7,139.2
2009,1053209,2678,32,296,,785,1565,254.3,3,28.1,,74.5,148.6
2010,1052528,2709,29,298,,782,1600,257.4,2.8,28.3,,74.3,152
2011,1050646,2586,20,319,,744,1503,246.1,1.9,30.4,,70.8,143.1
2012,1050304,2657,36,292,,715,1614,253,3.4,27.8,,68.1,153.7
2013,1053354,2710,31,333,449,683,1547,257.3,2.9,31.6,42.6,64.8,146.9
2014,1055173,2313,25,253,361,529,1398,219.2,2.4,24,34.2,50.1,132.5
