Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,680514,282,14,37,,62,169,41.4,2.1,5.4,,9.1,24.8
1961,690000,245,12,42,,61,130,35.5,1.7,6.1,,8.8,18.8
1962,721000,279,24,42,,62,151,38.7,3.3,5.8,,8.6,20.9
1963,737000,278,9,39,,78,152,37.7,1.2,5.3,,10.6,20.6
1964,715000,408,9,39,,59,301,57.1,1.3,5.5,,8.3,42.1
1965,703000,415,11,48,,65,291,59,1.6,6.8,,9.2,41.4
1966,682000,568,10,61,,68,429,83.3,1.5,8.9,,10,62.9
1967,674000,586,25,56,,87,418,86.9,3.7,8.3,,12.9,62
1968,657000,563,25,67,,127,344,85.7,3.8,10.2,,19.3,52.4
1969,659000,510,13,73,,85,339,77.4,2,11.1,,12.9,51.4
1970,666257,616,25,74,,114,403,92.5,3.8,11.1,,17.1,60.5
1971,670000,644,8,66,,122,448,96.1,1.2,9.9,,18.2,66.9
1972,679000,756,8,77,,106,565,111.3,1.2,11.3,,15.6,83.2
1973,685000,869,26,88,,169,586,126.9,3.8,12.8,,24.7,85.5
1974,682000,1234,14,73,,139,1008,180.9,2.1,10.7,,20.4,147.8
1975,683000,1402,25,113,,212,1052,205.3,3.7,16.5,,31,154
1976,686000,1277,12,105,,159,1001,186.2,1.7,15.3,,23.2,145.9
1977,689000,1303,14,93,,123,1073,189.1,2,13.5,,17.9,155.7
1978,690000,1128,13,75,,110,930,163.5,1.9,10.9,,15.9,134.8
1979,689000,1096,14,113,,140,829,159.1,2,16.4,,20.3,120.3
1980,688217,873,5,86,,138,644,126.8,0.7,12.5,,20.1,93.6
1981,685000,718,12,79,,122,505,104.8,1.8,11.5,,17.8,73.7
1982,691000,684,19,79,,118,468,99,2.7,11.4,,17.1,67.7
1983,700000,840,15,119,,111,595,120,2.1,17,,15.9,85
1984,706000,1041,13,190,,105,733,147.5,1.8,26.9,,14.9,103.8
1985,708000,967,13,168,,121,665,136.6,1.8,23.7,,17.1,93.9
1986,708000,883,28,125,,115,615,124.7,4,17.7,,16.2,86.9
1987,709000,849,13,146,,87,603,119.7,1.8,20.6,,12.3,85
1988,715000,813,22,192,,87,512,113.7,3.1,26.9,,12.2,71.6
1989,715000,969,9,229,,84,647,135.5,1.3,32,,11.7,90.5
1990,696004,1133,14,239,,86,794,162.8,2,34.3,,12.4,114.1
1991,703000,1281,12,279,,132,858,182.2,1.7,39.7,,18.8,122
1992,711000,1383,4,368,,120,891,194.5,0.6,51.8,,16.9,125.3
1993,715000,1490,24,318,,107,1041,208.4,3.4,44.5,,15,145.6
1994,721000,1641,10,303,,135,1193,227.6,1.4,42,,18.7,165.5
1995,729000,1513,13,299,,189,1012,207.5,1.8,41,,25.9,138.8
1996,732000,1297,9,300,,138,850,177.2,1.2,41,,18.9,116.1
1997,738000,1457,10,357,,172,918,197.4,1.4,48.4,,23.3,124.4
1998,738000,1139,10,258,,149,722,154.3,1.4,35,,20.2,97.8
1999,733133,1227,18,336,,103,770,167.4,2.5,45.8,,14,105
2000,754844,1259,7,305,,131,816,166.8,0.9,40.4,,17.4,108.1
2001,758324,1171,7,351,,103,710,154.4,0.9,46.3,,13.6,93.6
2002,760437,1350,11,361,,117,861,177.5,1.4,47.5,,15.4,113.2
2003,764905,1329,10,356,,104,859,173.7,1.3,46.5,,13.6,112.3
2004,770621,1319,17,336,,112,854,171.2,2.2,43.6,,14.5,110.8
2005,774883,1387,18,377,,145,847,179,2.3,48.7,,18.7,109.3
2006,781919,2071,30,465,,158,1418,264.9,3.8,59.5,,20.2,181.3
2007,796214,1926,31,433,,118,1344,241.9,3.9,54.4,,14.8,168.8
2008,804194,2227,37,562,,134,1494,276.9,4.6,69.9,,16.7,185.8
2009,812383,1777,30,501,,117,1129,218.7,3.7,61.7,,14.4,139
2010,816598,2196,23,385,,154,1634,268.9,2.8,47.1,,18.9,200.1
2011,823593,2105,20,503,,167,1415,255.6,2.4,61.1,,20.3,171.8
2012,834047,2701,23,600,,157,1921,323.8,2.8,71.9,,18.8,230.3
2013,845510,2733,18,454,507,156,2052,323.2,2.1,53.7,60,18.5,242.7
2014,853175,2786,20,413,470,200,2096,326.5,2.3,48.4,55.1,23.4,245.7
