Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,9579677,15428,824,892,,3031,10681,161,8.6,9.3,,31.6,111.5
1961,9788000,15441,788,932,,3042,10679,157.8,8.1,9.5,,31.1,109.1
1962,10116000,15516,730,937,,3192,10657,153.4,7.2,9.3,,31.6,105.3
1963,10323000,17511,760,1008,,3700,12043,169.6,7.4,9.8,,35.8,116.7
1964,10397000,19769,785,1176,,4479,13329,190.1,7.6,11.3,,43.1,128.2
1965,10551000,21029,793,1132,,4509,14595,199.3,7.5,10.7,,42.7,138.3
1966,10752000,24382,983,1237,,5987,16175,226.8,9.1,11.5,,55.7,150.4
1967,10869000,26749,1073,1428,,7558,16690,246.1,9.9,13.1,,69.5,153.6
1968,10972000,29646,1163,1589,,9091,17803,270.2,10.6,14.5,,82.9,162.3
1969,11187000,36707,1269,2153,,13045,20240,328.1,11.3,19.2,,116.6,180.9
1970,11196000,40897,1299,2329,,15280,21989,365.3,11.6,20.8,,136.5,196.4
1971,11460000,43089,1383,2701,,14220,24785,376,12.1,23.6,,124.1,216.3
1972,11649000,41285,1440,2739,,14013,23093,354.4,12.4,23.5,,120.3,198.2
1973,11794000,45458,1506,2976,,17056,23920,385.4,12.8,25.2,,144.6,202.8
1974,12050000,47008,1652,3486,,19757,22113,390.1,13.7,28.9,,164,183.5
1975,12237000,47803,1639,3430,,20076,22658,390.6,13.4,28,,164.1,185.2
1976,12487000,44422,1519,3666,,17352,21885,355.7,12.2,29.4,,139,175.3
1977,12830000,52309,1705,4338,,19552,26714,407.7,13.3,33.8,,152.4,208.2
1978,13014000,56650,1853,4927,,21395,28475,435.3,14.2,37.9,,164.4,218.8
1979,13385000,67988,2235,6043,,25667,34043,507.9,16.7,45.1,,191.8,254.3
1980,14169829,77978,2392,6700,,29547,39339,550.3,16.9,47.3,,208.5,277.6
1981,14755000,78560,2446,6821,,28528,40765,532.4,16.6,46.2,,193.3,276.3
1982,15280000,88178,2466,6816,,33618,45278,577.1,16.1,44.6,,220,296.3
1983,15724000,80546,2239,6333,,29769,42205,512.2,14.2,40.3,,189.3,268.4
1984,15989000,80737,2093,7343,,28540,42761,505,13.1,45.9,,178.5,267.4
1985,16370000,90030,2132,8364,,31680,47854,550,13,51.1,,193.5,292.3
1986,16682000,109925,2258,8607,,40021,59039,658.9,13.5,51.6,,239.9,353.9
1987,16789000,105961,1959,8068,,38053,57881,631.1,11.7,48.1,,226.7,344.8
1988,16780000,109499,2022,8119,,39301,60057,652.6,12.1,48.4,,234.2,357.9
1989,16991000,111889,2029,7951,,37913,63996,658.5,11.9,46.8,,223.1,376.6
1990,16986510,129343,2389,8750,,44297,73907,761.4,14.1,51.5,,260.8,435.1
1991,17349000,145743,2652,9266,,49700,84125,840.1,15.3,53.4,,286.5,484.9
1992,17656000,142369,2239,9437,,44588,86105,806.3,12.7,53.4,,252.5,487.7
1993,18031000,137419,2147,9922,,40469,84881,762.1,11.9,55,,224.4,470.8
1994,18378000,129838,2022,9102,,37643,81071,706.5,11,49.5,,204.8,441.1
1995,18724000,124303,1693,8563,,33667,80380,663.9,9,45.7,,179.8,429.3
1996,19128000,123270,1477,8376,,32804,80613,644.4,7.7,43.8,,171.5,421.4
1997,19439000,117126,1327,8011,,30522,77266,602.5,6.8,41.2,,157,397.5
1998,19760000,111566,1346,7913,,28677,73630,564.6,6.8,40,,145.1,372.6
1999,20044141,112306,1217,7614,,29405,74070,560.3,6.1,38,,146.7,369.5
2000,20851820,113653,1238,7856,,30257,74302,545.1,5.9,37.7,,145.1,356.3
2001,21370983,122155,1332,8169,,35348,77306,571.6,6.2,38.2,,165.4,361.7
2002,21736925,126018,1302,8508,,37580,78628,579.7,6,39.1,,172.9,361.7
2003,22103374,122246,1422,8025,,37017,75782,553.1,6.4,36.3,,167.5,342.9
2004,22471549,121554,1364,8388,,35817,75985,540.9,6.1,37.3,,159.4,338.1
2005,22928508,121091,1407,8511,,35790,75383,528,6.1,37.1,,156.1,328.8
2006,23507783,121602,1386,8429,,37256,74531,517.3,5.9,35.9,,158.5,317
2007,23904380,122014,1419,8460,,38778,73357,510.4,5.9,35.4,,162.2,306.9
2008,24326974,123585,1370,8055,,37739,76421,508,5.6,33.1,,155.1,314.1
2009,24782302,121684,1330,8311,,38022,74021,491,5.4,33.5,,153.4,298.7
2010,25253466,113231,1249,7622,,32843,71517,448.4,4.9,30.2,,130.1,283.2
2011,25631778,104734,1130,7486,,28620,67498,408.6,4.4,29.2,,111.7,263.3
2012,26060796,106475,1148,7715,,30385,67227,408.6,4.4,29.6,,116.6,258
2013,26505637,108757,1140,7610,10456,31810,65351,410.3,4.3,28.7,39.4,120,246.6
2014,26956958,109414,1184,8236,11393,31181,65656,405.9,4.4,30.6,42.3,115.7,243.6
