Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,179323175,288460,9110,17190,,107840,154320,160.9,5.1,9.6,,60.1,86.1
1961,182992000,289390,8740,17220,,106670,156760,158.1,4.8,9.4,,58.3,85.7
1962,185771000,301510,8530,17550,,110860,164570,162.3,4.6,9.4,,59.7,88.6
1963,188483000,316970,8640,17650,,116470,174210,168.2,4.6,9.4,,61.8,92.4
1964,191141000,364220,9360,21420,,130390,203050,190.6,4.9,11.2,,68.2,106.2
1965,193526000,387390,9960,23410,,138690,215330,200.2,5.1,12.1,,71.7,111.3
1966,195576000,430180,11040,25820,,157990,235330,220,5.6,13.2,,80.8,120.3
1967,197457000,499930,12240,27620,,202910,257160,253.2,6.2,14,,102.8,130.2
1968,199399000,595010,13800,31670,,262840,286700,298.4,6.9,15.9,,131.8,143.8
1969,201385000,661870,14760,37170,,298850,311090,328.7,7.3,18.5,,148.4,154.5
1970,203235298,738820,16000,37990,,349860,334970,363.5,7.9,18.7,,172.1,164.8
1971,206212000,816500,17780,42260,,387700,368760,396,8.6,20.5,,188,178.8
1972,208230000,834900,18670,46850,,376290,393090,401,9,22.5,,180.7,188.8
1973,209851000,875910,19640,51400,,384220,420650,417.4,9.4,24.5,,183.1,200.5
1974,211392000,974720,20710,55400,,442400,456210,461.1,9.8,26.2,,209.3,215.8
1975,213124000,1039710,20510,56090,,470500,492620,487.8,9.6,26.3,,220.8,231.1
1976,214659000,1004210,18780,57080,,427810,500530,467.8,8.7,26.6,,199.3,233.2
1977,216332000,1029580,19120,63500,,412610,534350,475.9,8.8,29.4,,190.7,247
1978,218059000,1085550,19560,67610,,426930,571460,497.8,9,31,,195.8,262.1
1979,220099000,1208030,21460,76390,,480700,629480,548.9,9.8,34.7,,218.4,286
1980,225349264,1344520,23040,82990,,565840,672650,596.6,10.2,36.8,,251.1,298.5
1981,229465714,1361820,22520,82500,,592910,663900,593.5,9.8,36,,258.4,289.3
1982,231664458,1322390,21010,78770,,553130,669480,570.8,9.1,34,,238.8,289
1983,233791994,1258087,19308,78918,,506567,653294,538.1,8.3,33.8,,216.7,279.4
1984,235824902,1273282,18692,84233,,485008,685349,539.9,7.9,35.7,,205.7,290.6
1985,237923795,1327767,18976,87671,,497874,723246,558.1,8,36.8,,209.3,304
1986,240132887,1489169,20613,91459,,542775,834322,620.1,8.6,38.1,,226,347.4
1987,242288918,1483999,20096,91111,,517704,855088,612.5,8.3,37.6,,213.7,352.9
1988,244498982,1566221,20675,92486,,542968,910092,640.6,8.5,37.8,,222.1,372.2
1989,246819230,1646037,21500,94504,,578326,951707,666.9,8.7,38.3,,234.3,385.6
1990,249464396,1820127,23438,102555,,639271,1054863,729.6,9.4,41.1,,256.3,422.9
1991,252153092,1911767,24703,106593,,687732,1092739,758.2,9.8,42.3,,272.7,433.4
1992,255029699,1932274,23760,109062,,672478,1126974,757.7,9.3,42.8,,263.7,441.9
1993,257782608,1926017,24526,106014,,659870,1135607,747.1,9.5,41.1,,256,440.5
1994,260327021,1857670,23326,102216,,618949,1113179,713.6,9,39.3,,237.8,427.6
1995,262803276,1798792,21606,97470,,580509,1099207,684.5,8.2,37.1,,220.9,418.3
1996,265228572,1688540,19645,96252,,535594,1037049,636.6,7.4,36.3,,201.9,391
1997,267783607,1636096,18208,96153,,498534,1023201,611,6.8,35.9,,186.2,382.1
1998,270248003,1533887,16974,93144,,447186,976583,567.6,6.3,34.5,,165.5,361.4
1999,272690813,1426044,15522,89411,,409371,911740,523,5.7,32.8,,150.1,334.3
2000,281421906,1425486,15586,90178,,408016,911706,506.5,5.5,32,,145,324
2001,285317559,1439480,16037,90863,,423557,909023,504.5,5.6,31.8,,148.5,318.6
2002,287973924,1423677,16229,95235,,420806,891407,494.4,5.6,33.1,,146.1,309.5
2003,290788976,1383676,16528,93883,,414235,859030,475.8,5.7,32.3,,142.5,295.4
2004,293656842,1360088,16148,95089,,401470,847381,463.2,5.5,32.4,,136.7,288.6
2005,296507061,1390745,16740,94347,,417438,862220,469,5.6,31.8,,140.8,290.8
2006,299398484,1435123,17309,94472,,449246,874096,479.3,5.8,31.6,,150,292
2007,301621157,1422970,17128,92160,,447324,866358,471.8,5.7,30.6,,148.3,287.2
2008,304059724,1394461,16465,90750,,443563,843683,458.6,5.4,29.8,,145.9,277.5
2009,307006550,1325896,15399,89241,,408742,812514,431.9,5,29.1,,133.1,264.7
2010,309330219,1251248,14722,85593,,369089,781844,404.5,4.8,27.7,,119.3,252.8
2011,311587816,1206031,14661,84175,,354772,752423,387.1,4.7,27,,113.9,241.5
2012,313873685,1217067,14866,85141,,355051,762009,387.8,4.7,27.1,,113.1,242.8
2013,316497531,1199684,14319,82109,113695,345095,726575,379.1,4.5,25.9,35.9,109,229.6
2014,318857056,1197987,14249,84041,116645,325802,741291,375.7,4.5,26.4,36.6,102.2,232.5
