Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,2853214,1616,61,166,,886,503,56.6,2.1,5.8,,31.1,17.6
1961,2902000,1687,63,180,,902,542,58.1,2.2,6.2,,31.1,18.7
1962,3006000,1913,74,189,,912,738,63.6,2.5,6.3,,30.3,24.6
1963,3050000,2034,76,196,,914,848,66.7,2.5,6.4,,30,27.8
1964,2984000,2761,72,229,,850,1610,92.5,2.4,7.7,,28.5,54
1965,2990000,3081,67,304,,905,1805,103,2.2,10.2,,30.3,60.4
1966,2980000,3673,75,346,,1094,2158,123.3,2.5,11.6,,36.7,72.4
1967,3087000,4754,96,387,,1686,2585,154,3.1,12.5,,54.6,83.7
1968,3276000,6970,118,561,,3223,3068,212.8,3.6,17.1,,98.4,93.7
1969,3402000,8243,124,660,,3844,3615,242.3,3.6,19.4,,113,106.3
1970,3409169,7546,120,613,,3189,3624,221.3,3.5,18,,93.5,106.3
1971,3449000,8155,130,612,,3219,4194,236.4,3.8,17.7,,93.3,121.6
1972,3443000,8627,146,749,,3016,4716,250.6,4.2,21.8,,87.6,137
1973,3429000,9309,137,897,,3302,4973,271.5,4,26.2,,96.3,145
1974,3476000,12036,179,1008,,4015,6834,346.3,5.1,29,,115.5,196.6
1975,3544000,13851,202,1160,,4395,8094,390.8,5.7,32.7,,124,228.4
1976,3612000,14036,154,1238,,4317,8327,388.6,4.3,34.3,,119.5,230.5
1977,3658000,13714,159,1447,,3886,8222,374.9,4.3,39.6,,106.2,224.8
1978,3774000,15296,175,1556,,4719,8846,405.3,4.6,41.2,,125,234.4
1979,3926000,17064,187,1821,,4739,10317,434.6,4.8,46.4,,120.7,262.8
1980,4113331,19098,225,2169,,5558,11146,464.3,5.5,52.7,,135.1,271
1981,4212000,18839,213,2115,,5475,11036,447.3,5.1,50.2,,130,262
1982,4245000,17251,185,1947,,5003,10116,406.4,4.4,45.9,,117.9,238.3
1983,4300000,15986,212,1923,,4533,9318,371.8,4.9,44.7,,105.4,216.7
1984,4349000,17676,202,2176,,5247,10051,406.4,4.6,50,,120.6,231.1
1985,4409000,18757,231,2420,,5821,10285,425.4,5.2,54.9,,132,233.3
1986,4463000,19505,223,2382,,6031,10869,437,5,53.4,,135.1,243.5
1987,4538000,19945,256,2370,,6417,10902,439.5,5.6,52.2,,141.4,240.2
1988,4619000,21543,264,2611,,6738,11930,466.4,5.7,56.5,,145.9,258.3
1989,4761000,22460,209,2938,,6672,12641,471.7,4.4,61.7,,140.1,265.5
1990,4866692,24410,238,3115,,6326,14731,501.6,4.9,64,,130,302.7
1991,5018000,26224,211,3529,,7303,15181,522.6,4.2,70.3,,145.5,302.5
1992,5136000,27454,258,3697,,7178,16321,534.5,5,72,,139.8,317.8
1993,5255000,27040,271,3384,,7204,16181,514.6,5.2,64.4,,137.1,307.9
1994,5343000,27317,294,3230,,7464,16329,511.3,5.5,60.5,,139.7,305.6
1995,5431000,26300,275,3214,,7209,15602,484.3,5.1,59.2,,132.7,287.3
1996,5533000,23857,255,2828,,6587,14187,431.2,4.6,51.1,,119,256.4
1997,5610000,24724,244,2885,,6734,14864,440.7,4.3,51.4,,120,265
1998,5689000,24380,224,2740,,6577,14839,428.5,3.9,48.2,,115.6,260.8
1999,5756361,21716,171,2711,,5808,13026,377.3,3,47.1,,100.9,226.3
2000,5894121,21788,196,2737,,5812,13043,369.7,3.3,46.4,,98.6,221.3
2001,5993390,21258,179,2600,,5934,12545,354.7,3,43.4,,99,209.3
2002,6067060,20964,184,2734,,5797,12249,345.5,3,45.1,,95.5,201.9
2003,6131298,21272,182,2863,,5718,12509,346.9,3,46.7,,93.3,204
2004,6207046,21330,190,2857,,5866,12417,343.6,3.1,46,,94.5,200
2005,6291899,21745,205,2811,,5788,12941,346,3.3,44.7,,92,205.7
2006,6395798,22303,197,2748,,6424,12934,348.7,3.1,43,,100.4,202.2
2007,6468424,21768,174,2653,,6079,12862,336.5,2.7,41,,94,198.8
2008,6549224,21888,193,2653,,6419,12623,334.2,2.9,40.5,,98,192.7
2009,6664195,22412,190,2583,,6711,12928,336.3,2.9,38.8,,100.7,194
2010,6742950,21138,154,2579,,5929,12476,313.5,2.3,38.2,,87.9,185
2011,6823267,20152,163,2320,,5627,12042,295.3,2.4,34,,82.5,176.5
2012,6895318,20553,217,2250,,5801,12285,298.1,3.1,32.6,,84.1,178.2
2013,6973742,20223,167,2072,2604,5829,11623,290,2.4,29.7,37.3,83.6,166.7
2014,7061530,20136,174,2171,2695,5640,11627,285.2,2.5,30.7,38.2,79.9,164.7
