Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,1860421,1200,81,78,,238,803,64.5,4.4,4.2,,12.8,43.2
1961,1850000,1167,82,81,,216,788,63.1,4.4,4.4,,11.7,42.6
1962,1773000,1146,66,75,,273,732,64.6,3.7,4.2,,15.4,41.3
1963,1778000,1185,95,74,,260,756,66.6,5.3,4.2,,14.6,42.5
1964,1797000,1359,67,89,,303,900,75.6,3.7,5,,16.9,50.1
1965,1812000,1413,72,77,,261,1003,78,4,4.2,,14.4,55.4
1966,1794000,1613,76,91,,342,1104,89.9,4.2,5.1,,19.1,61.5
1967,1798000,1744,83,85,,347,1229,97,4.6,4.7,,19.3,68.4
1968,1805000,1959,99,79,,460,1321,108.5,5.5,4.4,,25.5,73.2
1969,1819000,1766,102,93,,347,1224,97.1,5.6,5.1,,19.1,67.3
1970,1744237,2158,109,116,,476,1457,123.7,6.2,6.7,,27.3,83.5
1971,1752000,2311,113,87,,620,1491,131.9,6.4,5,,35.4,85.1
1972,1781000,2299,109,146,,562,1482,129.1,6.1,8.2,,31.6,83.2
1973,1794000,2219,103,166,,501,1449,123.7,5.7,9.3,,27.9,80.8
1974,1791000,2460,108,179,,631,1542,137.4,6,10,,35.2,86.1
1975,1803000,2915,133,168,,820,1794,161.7,7.4,9.3,,45.5,99.5
1976,1821000,2761,122,188,,692,1759,151.6,6.7,10.3,,38,96.6
1977,1859000,2832,112,246,,784,1690,152.3,6,13.2,,42.2,90.9
1978,1860000,3120,127,273,,862,1858,167.7,6.8,14.7,,46.3,99.9
1979,1878000,3156,128,291,,825,1912,168.1,6.8,15.5,,43.9,101.8
1980,1930787,3547,138,306,,936,2167,183.7,7.1,15.8,,48.5,112.2
1981,1951000,3410,118,289,,979,2024,174.8,6,14.8,,50.2,103.7
1982,1948000,3405,102,302,,970,2031,174.8,5.2,15.5,,49.8,104.3
1983,1965000,3375,96,263,,869,2147,171.8,4.9,13.4,,44.2,109.3
1984,1952000,3283,86,305,,744,2148,168.2,4.4,15.6,,38.1,110
1985,1936000,3214,73,359,,728,2054,166,3.8,18.5,,37.6,106.1
1986,1919000,3156,114,362,,787,1893,164.5,5.9,18.9,,41,98.6
1987,1897000,2605,92,429,,591,1493,137.3,4.8,22.6,,31.2,78.7
1988,1884000,2476,93,353,,644,1386,131.4,4.9,18.7,,34.2,73.6
1989,1857000,2724,121,347,,793,1463,146.7,6.5,18.7,,42.7,78.8
1990,1793477,3036,102,423,,680,1831,169.3,5.7,23.6,,37.9,102.1
1991,1801000,3440,111,415,,779,2135,191,6.2,23,,43.3,118.5
1992,1812000,3833,115,393,,788,2537,211.5,6.3,21.7,,43.5,140
1993,1820000,3793,126,365,,782,2520,208.4,6.9,20.1,,43,138.5
1994,1822000,3931,99,370,,772,2690,215.8,5.4,20.3,,42.4,147.6
1995,1828000,3842,89,388,,781,2584,210.2,4.9,21.2,,42.7,141.4
1996,1826000,3836,69,358,,737,2672,210.1,3.8,19.6,,40.4,146.3
1997,1816000,3971,75,355,,782,2759,218.7,4.1,19.5,,43.1,151.9
1998,1811000,4503,78,339,,676,3410,248.6,4.3,18.7,,37.3,188.3
1999,1806928,6336,79,337,,661,5259,350.7,4.4,18.7,,36.6,291
2000,1808344,5723,46,331,,749,4597,316.5,2.5,18.3,,41.4,254.2
2001,1800975,5035,40,320,,707,3968,279.6,2.2,17.8,,39.3,220.3
2002,1804884,4221,57,328,,657,3179,233.9,3.2,18.2,,36.4,176.1
2003,1811440,4627,73,311,,701,3542,255.4,4,17.2,,38.7,195.5
2004,1812548,5110,68,346,,774,3922,281.9,3.8,19.1,,42.7,216.4
2005,1814083,4968,82,335,,816,3735,274,4.5,18.5,,45,205.9
2006,1818470,5113,80,404,,853,3776,281.2,4.4,22.2,,46.9,207.6
2007,1812035,5016,65,388,,847,3716,276.8,3.6,21.4,,46.7,205.1
2008,1814468,5006,67,389,,896,3654,275.9,3.7,21.4,,49.4,201.4
2009,1819777,5554,84,470,,914,4086,305.2,4.6,25.8,,50.2,224.5
2010,1854368,5586,58,362,,776,4390,301.2,3.1,19.5,,41.8,236.7
2011,1854908,5497,87,372,,802,4236,296.3,4.7,20.1,,43.2,228.4
2012,1856680,5943,70,415,,835,4623,320.1,3.8,22.4,,45,249
2013,1853595,5657,62,367,700,653,4242,305.2,3.3,19.8,37.8,35.2,228.9
2014,1850326,5588,74,285,505,651,4358,302,4,15.4,27.3,35.2,235.5
