Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,3951777,1261,50,109,,327,775,31.9,1.3,2.8,,8.3,19.6
1961,4022000,1268,63,101,,361,743,31.5,1.6,2.5,,9,18.5
1962,4092000,1174,37,98,,348,691,28.7,0.9,2.4,,8.5,16.9
1963,4061000,1312,70,115,,393,734,32.3,1.7,2.8,,9.7,18.1
1964,4107000,1762,60,124,,451,1127,42.9,1.5,3,,11,27.4
1965,4144000,1911,64,149,,475,1223,46.1,1.5,3.6,,11.5,29.5
1966,4161000,1984,80,151,,537,1216,47.7,1.9,3.6,,12.9,29.2
1967,4189000,2948,80,194,,1171,1503,70.4,1.9,4.6,,28,35.9
1968,4213000,3400,92,262,,1394,1652,80.7,2.2,6.2,,33.1,39.2
1969,4233000,3411,87,305,,1196,1823,80.6,2.1,7.2,,28.3,43.1
1970,4417933,3792,88,296,,1462,1946,85.8,2,6.7,,33.1,44
1971,4476000,3957,126,341,,1411,2079,88.4,2.8,7.6,,31.5,46.4
1972,4520000,4358,126,376,,1661,2195,96.4,2.8,8.3,,36.7,48.6
1973,4569000,5273,119,492,,2226,2436,115.4,2.6,10.8,,48.7,53.3
1974,4566000,6411,138,514,,3025,2734,140.4,3,11.3,,66.3,59.9
1975,4607000,6992,150,490,,3381,2971,151.8,3.3,10.6,,73.4,64.5
1976,4609000,6345,140,542,,2734,2929,137.7,3,11.8,,59.3,63.5
1977,4651000,6117,130,600,,2426,2961,131.5,2.8,12.9,,52.2,63.7
1978,4679000,6184,118,677,,2336,3053,132.2,2.5,14.5,,49.9,65.2
1979,4720000,7839,160,758,,2857,4064,166.1,3.4,16.1,,60.5,86.1
1980,4680917,8546,136,697,,3310,4403,182.6,2.9,14.9,,70.7,94.1
1981,4739000,8904,161,745,,3249,4749,187.9,3.4,15.7,,68.6,100.2
1982,4765000,9077,148,680,,3393,4856,190.5,3.1,14.3,,71.2,101.9
1983,4751000,9070,131,861,,3415,4663,190.9,2.8,18.1,,71.9,98.1
1984,4766000,9367,117,790,,3167,5293,196.5,2.5,16.6,,66.4,111.1
1985,4775000,9880,135,875,,3351,5519,206.9,2.8,18.3,,70.2,115.6
1986,4785000,12339,149,961,,3483,7746,257.9,3.1,20.1,,72.8,161.9
1987,4807000,12014,168,954,,3192,7700,249.9,3.5,19.8,,66.4,160.2
1988,4858000,10414,144,965,,3258,6047,214.4,3,19.9,,67.1,124.5
1989,4867000,10834,176,993,,3659,6006,222.6,3.6,20.4,,75.2,123.4
1990,4891769,12948,225,1013,,5514,6196,264.7,4.6,20.7,,112.7,126.7
1991,4955000,13723,239,1259,,5895,6330,277,4.8,25.4,,119,127.7
1992,5007000,13806,218,1315,,5997,6276,275.7,4.4,26.3,,119.8,125.3
1993,5038000,13321,222,1269,,5714,6116,264.4,4.4,25.2,,113.4,121.4
1994,5082000,13748,227,1192,,5739,6590,270.5,4.5,23.5,,112.9,129.7
1995,5123000,14399,219,1194,,5384,7602,281.1,4.3,23.3,,105.1,148.4
1996,5160000,13039,204,1086,,4982,6767,252.7,4,21,,96.6,131.1
1997,5170000,13988,205,1048,,5214,7521,270.6,4,20.3,,100.9,145.5
1998,5224000,13009,190,1037,,4474,7308,249,3.6,19.9,,85.6,139.9
1999,5250446,12908,179,1055,,4449,7225,245.8,3.4,20.1,,84.7,137.6
2000,5363675,12700,169,1165,,4537,6829,236.8,3.2,21.7,,84.6,127.3
2001,5405947,12486,192,1142,,4444,6708,231,3.6,21.1,,82.2,124.1
2002,5439692,12238,154,1237,,4713,6134,225,2.8,22.7,,86.6,112.8
2003,5474290,12104,183,1202,,4397,6322,221.1,3.3,22,,80.3,115.5
2004,5503533,11548,154,1136,,4067,6191,209.8,2.8,20.6,,73.9,112.5
2005,5527644,13367,206,1135,,4555,7471,242,3.7,20.5,,82.4,135.2
2006,5556506,15899,165,1233,,5564,8937,286.1,3,22.2,,100.1,160.8
2007,5601640,16330,185,1227,,5480,9438,291.5,3.3,21.9,,97.8,168.5
2008,5627967,15507,146,1128,,5163,9070,275.5,2.6,20,,91.7,161.2
2009,5654774,14650,146,1118,,4904,8482,259.1,2.6,19.8,,86.7,150
2010,5691659,14167,155,1191,,4516,8305,248.9,2.7,20.9,,79.3,145.9
2011,5709843,14268,138,1190,,4600,8340,249.9,2.4,20.8,,80.6,146.1
2012,5724554,16254,169,1228,,4692,10165,283.9,3,21.5,,82,177.6
2013,5742953,16118,163,1308,1836,4834,9285,280.7,2.8,22.8,32,84.2,161.7
2014,5757564,16714,165,1168,1674,5066,9809,290.3,2.9,20.3,29.1,88,170.4
