state,total,white,black,other
Federal,0,0,0,0
Maine,0,0,0,0
New Hampshire,0,0,0,0
Vermont,0,0,0,0
Massachusetts,0,0,0,0
Rhode Island,2,0,2,0
Connecticut,0,0,0,0
New York,0,0,0,0
New Jersey,0,0,0,0
Pennsylvania,0,0,0,0
Ohio,87,31,56,0
Indiana,0,0,0,0
Illinois,1,0,1,0
Michigan,0,0,0,0
Wisconsin,0,0,0,0
Minnesota,0,0,0,0
Iowa,0,0,0,0
Missouri,0,0,0,0
North Dakota,0,0,0,0
South Dakota,0,0,0,0
Nebraska,4,4,0,0
Kansas,0,0,0,0
Delaware,0,0,0,0
Maryland,0,0,0,0
Virginia,1,0,1,0
West Virginia,0,0,0,0
North Carolina,1,0,0,1
South Carolina,4,2,2,0
Georgia,49,24,25,0
Florida,96,56,40,0
Kentucky,0,0,0,0
Tennessee,0,0,0,0
Alabama,19,11,8,0
Mississippi,8,2,6,0
Arkansas,7,5,2,0
Louisiana,0,0,0,0
Oklahoma,5,4,1,0
Texas,65,43,22,0
Montana,5,4,1,0
Idaho,1,0,0,1
Wyoming,0,0,0,0
Colorado,5,3,2,0
New Mexico,0,0,0,0
Arizona,18,14,4,0
Utah,6,4,2,0
Nevada,3,3,0,0
Washington,2,2,0,0
Oregon,0,0,0,0
California,54,32,22,0
Alaska,0,0,0,0
Hawaii,0,0,0,0
