state,total,white,black,other race
Federal,0,0,0,0
Maine,2,2,0,0
New Hampshire,0,0,0,0
Vermont,0,0,0,0
Massachusetts,0,0,0,0
Connecticut,0,0,0,0
New York,0,0,0,0
New Jersey,0,0,0,0
Pennsylvania,4,2,2,0
Ohio,0,0,0,0
Indiana,3,0,3,0
Illinois,19,10,9,0
Michigan,0,0,0,0
Wisconsin,0,0,0,0
Minnesota,0,0,0,0
Iowa,0,0,0,0
Missouri,2,1,1,0
North Dakota,0,0,0,0
South Dakota,0,0,0,0
Nebraska,8,6,2,0
Kansas,0,0,0,0
Delaware,1,1,0,0
Maryland,1,1,0,0
Virginia,8,4,4,0
West Virginia,0,0,0,0
North Carolina,8,4,4,0
South Carolina,8,7,1,0
Georgia,80,34,46,0
Florida,135,78,57,0
Kentucky,3,2,1,0
Tennessee,10,7,2,1
Alabama,43,18,25,0
Mississippi,11,4,7,0
Arkansas,12,7,5,0
Louisiana,7,4,3,0
Oklahoma,25,21,4,0
Texas,117,75,42,0
Montana,3,2,1,0
Idaho,1,1,0,0
Wyoming,1,1,0,0
Colorado,0,0,0,0
New Mexico,0,0,0,0
Arizona,23,20,3,0
Utah,7,5,2,0
Nevada,7,7,0,0
Washington,5,5,0,0
Oregon,1,1,0,0
California,25,18,5,2
Alaska,0,0,0,0
Hawaii,0,0,0,0
