state,total,white,black,other races
Federal,0,0,0,0
Maine,0,0,0,0
New Hampshire,0,0,0,0
Vermont,0,0,0,0
Massachusetts,0,0,0,0
Connecticut,0,0,0,0
New York,0,0,0,0
New Jersey,0,0,0,0
Pennsylvania,11,7,4,0
Ohio,0,0,0,0
Indiana,10,4,6,0
Illinois,41,15,26,0
Michigan,0,0,0,0
Wisconsin,0,0,0,0
Minnesota,0,0,0,0
Iowa,0,0,0,0
Missouri,14,6,8,0
North Dakota,0,0,0,0
South Dakota,0,0,0,0
Nebraska,11,8,3,0
Kansas,1,0,0,1
Delaware,4,3,1,0
Maryland,8,4,4,0
Virginia,17,7,10,0
West Virginia,0,0,0,0
North Carolina,17,10,6,1
South Carolina,21,12,9,0
Georgia,91,40,51,0
Florida,161,96,65,0
Kentucky,9,9,0,0
Tennessee,21,13,7,1
Alabama,16,3,13,0
Mississippi,27,8,19,0
Arkansas,23,15,8,0
Louisiana,10,7,3,0
Oklahoma,36,30,6,0
Texas,144,88,56,0
Montana,2,2,0,0
Idaho,2,2,0,0
Wyoming,0,0,0,0
Colorado,1,1,0,0
New Mexico,3,3,0,0
Arizona,38,33,4,1
Utah,3,1,2,0
Nevada,12,10,2,0
Washington,0,0,0,0
Oregon,0,0,0,0
California,83,51,28,4
Alaska,0,0,0,0
Hawaii,0,0,0,0
