state,total,white,black
Federal,8,3,5
Connecticut,5,2,3
New Hampshire,0,0,0
New Jersey,10,4,6
Pennsylvania,196,67,122
Illinois,154,56,98
Indiana,46,31,15
Kansas,0,0,0
Missouri,92,51,41
Nebraska,10,7,2
Ohio,155,76,78
South Dakota,2,2,0
Alabama ,143,82,59
Arkansas,38,23,15
Delaware,14,7,7
Florida,362,228,134
Georgia,98,55,43
Kentucky,28,22,6
Louisiana,57,20,37
Maryland,13,2,11
Mississippi,49,20,29
North Carolina ,139,68,69
Oklahoma ,129,78,40
South Carolina,67,33,34
Tennessee,96,64,30
Texas,404,241,158
Virginia,56,28,28
Arizona,117,97,14
California,420,251,160
Colorado,4,3,1
Idaho,19,19,0
Montana,6,5,0
Nevada,75,48,26
New Mexico,3,3,0
Oregon,20,18,1
Utah,10,8,2
Washington,9,8,1
Wyoming,0,0,0
