state,total,black,white,latino,native american,asian,unknown
AL,194,91,100,2,0,1,0
AZ,126,14,89,19,3,1,0
AR,40,23,16,1,0,0,0
CA,632,226,249,124,14,19,0
CO,6,2,1,2,0,1,0
CT,7,3,3,1,0,0,0
DE,21,8,10,3,0,0,0
FL,381,131,214,34,1,1,0
GA,116,56,57,2,0,1,0
ID,21,0,21,0,0,0,0
IL,8,3,5,0,0,0,0
IN,39,13,26,0,0,0,0
KS,7,2,5,0,0,0,0
KY,38,9,28,1,0,0,0
LA,92,63,26,2,0,1,0
MD,14,9,5,0,0,0,0
MS,69,36,32,0,0,1,0
MO,67,30,37,0,0,0,0
MT,5,0,5,0,0,0,0
NE,7,1,5,1,0,0,0
NV,89,36,43,9,0,1,0
NJ,15,6,9,0,0,0,0
NM,2,0,2,0,0,0,0
NY,6,2,3,1,0,0,0
NC,207,118,75,4,8,2,0
OH,209,104,99,2,2,2,0
OK,105,38,55,4,7,1,0
OR,31,1,26,2,1,0,1
PA,241,148,72,19,0,2,0
SC,74,33,41,0,0,0,0
SD,4,0,4,0,0,0,0
TN,104,41,58,1,2,2,0
TX,451,187,143,116,0,5,0
UT,11,2,6,2,1,0,0
VA,27,12,15,0,0,0,0
WA,11,5,6,0,0,0,0
WY,1,0,1,0,0,0,0
Federal,26,19,6,0,1,0,0
Military,7,5,1,0,0,1,0
