state,total,black,white,latino,native american,asian,unknown
AL,194,91,100,2,0,1,0
AZ,127,14,90,19,3,1,0
AR,41,24,16,1,0,0,0
CA,625,220,249,123,14,19,0
CO,6,2,1,2,0,1,0
CT,7,3,3,1,0,0,0
DE,19,8,9,2,0,0,0
FL,380,131,214,33,1,1,0
GA,116,56,57,2,0,1,0
ID,21,0,21,0,0,0,0
IL,7,3,4,0,0,0,0
IN,39,13,26,0,0,0,0
KS,7,2,5,0,0,0,0
KY,38,9,28,1,0,0,0
LA,92,63,26,2,0,1,0
MD,15,10,5,0,0,0,0
MS,69,36,32,0,0,1,0
MO,69,31,38,0,0,0,0
MT,6,0,6,0,0,0,0
NE,7,1,5,1,0,0,0
NV,88,36,42,9,0,1,0
NJ,15,6,9,0,0,0,0
NM,2,0,2,0,0,0,0
NY,6,2,3,1,0,0,0
NC,214,120,78,5,9,2,0
OH,207,104,97,2,2,2,0
OK,110,39,59,4,7,1,0
OR,31,1,26,2,1,0,1
PA,241,150,72,17,0,2,0
SC,77,35,42,0,0,0,0
SD,4,0,4,0,0,0,0
TN,105,41,59,1,2,2,0
TX,453,188,145,115,0,5,0
UT,11,2,6,2,1,0,0
VA,29,12,17,0,0,0,0
WA,12,5,7,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,26,19,6,0,1,0,0
Military,7,5,1,0,0,1,0
