state,total,black,white,latino/a,native american,asian,unknown
AL,204,101,99,3,0,1,0
AZ,134,14,89,27,3,1,0
AR,41,25,15,1,0,0,0
CA,721,260,258,167,12,24,0
CO,4,3,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,21,12,6,3,0,0,0
FL,402,145,217,37,1,2,0
GA,98,50,45,3,0,0,0
ID,15,0,15,0,0,0,0
IN,14,4,10,0,0,0,0
KS,9,4,5,0,0,0,0
KY,35,5,29,1,0,0,0
LA,89,57,28,3,0,1,0
MD,5,4,1,0,0,0,0
MS,57,32,24,0,0,1,0
MO,47,21,26,0,0,0,0
MT,2,0,2,0,0,0,0
NE,11,2,4,5,0,0,0
NV,80,31,40,8,0,1,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,164,84,66,4,9,1,0
OH,153,79,68,3,1,2,0
OK,72,28,35,3,6,0,0
OR,37,4,28,3,1,0,1
PA,213,127,66,18,0,2,0
SC,58,32,24,2,0,0,0
SD,3,0,3,0,0,0,0
TN,88,37,46,1,2,2,0
TX,317,127,93,93,0,4,0
UT,9,1,5,2,1,0,0
VA,12,4,7,1,0,0,0
WA,9,4,5,0,0,0,0
WY,1,0,1,0,0,0,0
Federal,61,30,24,6,1,0,0
Military,6,4,2,0,0,0,0
