state,total,black,white,latino/a,native american,asian,unknown
AL ,195,103,89,2,0,1,0
AZ ,124,16,75,28,3,2,0
AR ,36,20,16,0,0,0,0
CA ,746,269,252,185,12,28,0
CO ,3,3,0,0,0,0,0
CT ,12,6,5,1,0,0,0
DE ,17,10,4,3,0,0,0
FL ,400,153,213,31,1,2,0
GA ,84,41,40,3,0,0,0
ID ,11,0,11,0,0,0,0
IN ,14,3,11,0,0,0,0
KS ,9,3,6,0,0,0,0
KY ,34,6,28,0,0,0,0
LA ,83,55,24,3,0,1,0
MS ,48,26,21,0,0,1,0
MO ,31,11,20,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,78,29,39,8,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,156,79,63,5,8,1,0
OH ,146,78,63,3,0,2,0
OK ,50,22,23,2,3,0,0
OR ,35,3,27,3,1,0,1
PA ,183,99,65,17,0,2,0
SC ,44,23,20,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,72,33,36,1,0,2,0
TX ,265,111,74,75,0,5,0
UT ,9,1,5,2,1,0,0
VA ,8,3,4,1,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
