state,total,black,white,latino/a,native american,asian,unknown
AL ,198,104,90,3,0,1,0
AZ ,124,16,76,27,3,2,0
AR ,34,20,14,0,0,0,0
CA ,743,269,254,182,12,26,0
CO ,3,3,0,0,0,0,0
CT ,12,6,5,1,0,0,0
DE ,17,10,4,3,0,0,0
FL ,403,152,217,31,1,2,0
GA ,87,42,42,3,0,0,0
ID ,11,0,11,0,0,0,0
IN ,14,3,11,0,0,0,0
KS ,10,4,6,0,0,0,0
KY ,35,6,29,0,0,0,0
LA ,85,56,25,3,0,1,0
MD ,4,3,1,0,0,0,0
MS ,48,25,22,0,0,1,0
MO ,35,13,22,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,11,2,4,5,0,0,0
NV ,77,29,39,8,0,1,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,158,80,64,5,8,1,0
OH ,145,77,63,3,0,2,0
OK ,49,21,23,2,3,0,0
OR ,36,3,28,3,1,0,1
PA ,188,102,67,17,0,2,0
SC ,45,24,20,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,73,33,36,1,1,2,0
TX ,276,115,77,79,0,5,0
UT ,9,1,5,2,1,0,0
VA ,8,3,4,1,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
