state,total,black,white,latino/a,native american,asian,unknown 
AL ,194,103,88,2,0,1,0
AZ ,126,16,76,28,3,3,0
AR ,36,20,16,0,0,0,0
CA ,741,267,249,185,11,29,0
CO ,3,3,0,0,0,0,0
DE ,18,11,4,3,0,0,0
FL ,396,154,208,31,1,2,0
GA ,68,34,31,3,0,0,0
ID ,9,0,9,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,34,6,28,0,0,0,0
LA ,77,50,23,3,0,1,0
MS ,48,26,21,0,0,1,0
MO ,26,9,17,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,80,30,39,9,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,155,80,62,5,7,1,0
OH ,142,76,61,3,0,2,0
OK ,47,20,23,2,2,0,0
OR ,34,3,26,3,1,0,1
PA ,175,94,63,16,0,2,0
SC ,43,23,19,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,69,33,33,1,0,2,0
TX ,254,109,68,71,0,6,0
UT ,9,1,5,2,1,0,0
VA ,7,3,4,0,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
Federal,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
