state,date,status
Alaska,1957,Abolished
Hawaii,1957,Abolished
Oregon,1970,Abolished
Minnesota,1970,Abolished
Iowa,1965,Abolished
Wisconsin,1853,Abolished
Michigan,1970,Abolished
West Virginia,1970,Abolished
Vermont,1970,Abolished
Maine,1887,Abolished
Vermont,1972,Abolished
California,1973,Abolished
Washington,1973,Abolished
Montana,1973,Abolished
North Dakota,1973,Abolished
South Dakota,1973,Abolished
Kansas,1973,Abolished
Colorado,1973,Abolished
New Mexico ,1973,Abolished
Texas,1973,Abolished
Mississippi,1973,Abolished
Alabama,1973,Abolished
Tennessee,1973,Abolished
South Carolina,1973,Abolished
Virginia,1973,Abolished
Maryland,1973,Abolished
Maine,1973,Abolished
New Hampshire,1973,Abolished
Pennsylvania,1973,Abolished
Ohio,1973,Abolished
Kentucky,1973,Abolished
New Jersey,1973,Abolished
Delaware,1973,Abolished
Maryland,1973,Abolished
Missouri,1973,Abolished
Illinois,1973,Abolished
Colorado,1973,Abolished
Wyoming,1973,Abolished
Federal,1972,Moratorium
Military,1972,Moratorium
Millitary,1976,Retentionist
Federal,1976,Retentionist
Montana,1974,Retentionist
California,1974,Retentionist
Texas,1974,Retentionist
Mississippi,1974,Retentionist
Tennessee,1974,Retentionist
South Carolina,1974,Retentionist
Illinois,1974,Retentionist
Ohio,1974,Retentionist
Delaware,1974,Retentionist
Pennsylvania,1974,Retentionist
Washington,1975,Retentionist
Colorado,1975,Retentionist
Missouri,1975,Retentionist
Kentucky,1975,Retentionist
Virginia,1975,Retentionist
Illinois,1976,Abolished
Alabama,1976,Retentionist
Wyoming,1977,Retentionist
Illinois,1977,Retentionist
Oregon,1978,Retentionist
Maryland,1978,Retentionist
South Dakota,1979,Retentionist
New Mexico,1979,Retentionist
Ohio,1979,Abolished
Oregon,1981,Abolished
Ohio,1981,Retentionist
Massachusetts,1982,Retentionist
New Jersey,1982,Retentionist
Military,1983,Moratorium
Military,1984,Retentionist
Oregon,1984,Retentionist
Rhode Island,1984,Abolished
New York,1984,Abolished
Massachusetts,1984,Abolished
New Hampshire,1991,Retentionist
Kansas,1994,Retentionist
New York,1995,Retentionist
Illinois,2000,Moratorium
Maryland,2002,Moratorium
New York,2004,Abolished
Maryland,2004,Retentionist
New Jersey,2007,Abolished
New Mexico,2009,Abolished
Illinois,2011,Abolished
Oregon,2011,Moratorium
Connecticut,2012,Abolished
Colorado,2013,Moratorium
Maryland,2013,Abolished
Washington,2014,Moratorium
Pennsylvania,2015,Moratorium
Delaware,2016,Abolished
Washington,2018,Abolished
New Hampshire,2019,Abolished
California,2019,Moratorium
