,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977
FEDERAL,2,1,0,1,4,2,1,0,3,4,3,6,5,6,10,2,5,2,2,1,5,3,4,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MILITARY,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0
NORTHEAST,1,2,1,2,5,4,7,5,3,8,7,8,4,8,7,7,10,7,16,21,14,13,14,23,24,22,16,21,13,17,22,22,25,20,21,19,9,5,3,4,0,8
CT,0,0,0,0,1,0,1,0,1,0,1,2,0,1,1,0,0,0,2,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,3,3,2,3,4,0,0,3,1,1,8,6,7,7,3,0,0,0,0,0,0
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PA,1,2,1,2,4,4,6,4,2,8,5,6,4,7,5,6,9,6,12,15,12,10,11,20,21,17,16,19,10,15,21,13,19,13,14,15,9,5,3,4,0,8
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIDWEST,8,3,5,2,5,11,7,4,9,7,14,9,10,11,13,14,21,14,20,29,33,27,47,43,36,32,42,37,34,26,51,36,58,54,46,39,26,25,27,18,23,27
IL,0,0,0,0,0,0,0,0,1,1,3,3,3,1,4,2,6,1,9,8,7,6,16,13,11,12,16,7,17,9,13,11,25,15,12,16,10,11,16,14,4,1
IN,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,1,4,0,2,2,3,1,3,3,2,2,4,3,3,1,8,4,6,10,7,6,5,5,4,1,2,1
