State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,189,86,100,2,0,1,0
AZ,127,16,89,18,3,1,0
AR,42,25,16,1,0,0,0
CA,611,219,241,120,14,17,0
CO,5,2,1,1,0,1,0
CT,7,3,3,1,0,0,0
DE,20,9,9,2,0,0,0
FL,388,136,216,34,1,1,0
GA,121,58,60,2,0,1,0
ID,22,0,22,0,0,0,0
IL,175,110,55,10,0,0,0
IN,39,12,27,0,0,0,0
KS,4,0,4,0,0,0,0
KY,41,9,31,1,0,0,0
LA,96,66,27,2,0,1,0
MD,17,11,6,0,0,0,0
MS,69,38,31,0,0,0,0
MO,71,30,41,0,0,0,0
MT,6,0,6,0,0,0,0
NE,7,1,5,1,0,0,0
NV,88,37,41,9,0,1,0
NJ,17,7,10,0,0,0,0
NM,4,0,3,1,0,0,0
NY,6,2,3,1,0,0,0
NC,223,124,84,4,9,2,0
OH,204,101,97,2,2,2,0
OK,121,42,65,4,9,1,0
OR,30,1,25,2,1,0,1
PA,247,156,75,14,0,2,0
SC,77,36,41,0,0,0,0
SD,5,0,5,0,0,0,0
TN,106,41,59,2,2,2,0
TX,457,189,153,110,0,5,0
UT,11,2,6,2,1,0,0
VA,26,10,15,0,0,1,0
WA,12,5,7,0,0,0,0
WY,2,0,2,0,0,0,0
US Gov.,26,18,6,2,0,0,0
Military,7,5,1,0,0,1,0
TOTAL,3726,1607,1688,348,42,40,1
