State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,186,92,92,2,0,0,0
AZ,126,13,90,19,3,1,0
AR,39,23,16,0,0,0,0
CA,648,233,251,130,14,20,0
CO,3,2,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,19,6,10,3,0,0,0
FL,385,134,215,34,1,1,0
GA,107,51,52,3,0,1,0
ID,20,0,20,0,0,0,0
IL,10,3,5,2,0,0,0
IN,27,8,19,0,0,0,0
KS,7,2,5,0,0,0,0
KY,37,8,28,1,0,0,0
LA,86,54,29,2,0,1,0
MD,9,6,3,0,0,0,0
MS,66,34,31,0,0,1,0
MO,54,23,31,0,0,0,0
MT,4,0,4,0,0,0,0
NE,10,1,6,3,0,0,0
NV,84,33,42,8,0,1,0
NJ,13,6,7,0,0,0,0
NM,2,0,2,0,0,0,0
NY,2,1,1,0,0,0,0
NC,195,105,74,4,10,2,0
OH,196,100,90,2,2,2,0
OK,94,35,51,2,6,0,0
OR,32,2,26,2,1,0,1
PA,231,141,70,18,0,2,0
SC,76,39,37,0,0,0,0
SD,4,0,4,0,0,0,0
TN,108,43,60,1,2,2,0
TX,413,170,127,112,0,4,0
UT,10,2,6,1,1,0,0
VA,23,13,10,0,0,0,0
WA,10,4,6,0,0,0,0
WY,2,0,2,0,0,0,0
US Gov.,36,23,12,0,1,0,0
Military,8,6,1,0,0,1,0
TOTAL,3390,1419,1538,352,41,39,1
