State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,195,93,100,2,0,0,0
AZ,124,13,88,20,3,0,0
AR,37,23,14,0,0,0,0
CA,660,235,254,136,13,22,0
CO,2,1,0,1,0,0,0
CT,8,3,3,2,0,0,0
DE,18,7,8,3,0,0,0
FL,397,139,221,35,1,1,0
GA,107,50,53,3,0,1,0
ID,20,0,20,0,0,0,0
IL,11,3,5,3,0,0,0
IN,23,7,16,0,0,0,0
KS,9,4,5,0,0,0,0
KY,41,9,31,1,0,0,0
LA,88,55,30,2,0,1,0
MD,8,5,3,0,0,0,0
MS,66,35,30,0,0,1,0
MO,51,21,30,0,0,0,0
MT,2,0,2,0,0,0,0
NE,9,1,5,3,0,0,0
NV,80,29,42,8,0,1,0
NJ,11,6,5,0,0,0,0
NM,2,0,2,0,0,0,0
NY,1,1,0,0,0,0,0
NC,185,98,72,4,10,1,0
OH,191,96,88,3,2,2,0
OK,88,33,48,3,4,0,0
OR,33,3,26,2,1,0,1
PA,226,137,68,19,0,2,0
SC,67,38,29,0,0,0,0
SD,4,0,4,0,0,0,0
TN,107,43,59,1,2,2,0
TX,393,161,121,107,0,4,0
UT,9,1,6,1,1,0,0
VA,20,12,8,0,0,0,0
WA,9,4,5,0,0,0,0
WY,2,0,2,0,0,0,0
US Gov.,44,25,18,0,1,0,0
Military,9,6,2,0,0,1,0
TOTAL,3357,1397,1523,359,38,39,1
