State ,Total ,Black ,,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,205,102,50%,99,3,0,1,0
AZ ,137,18,13%,90,24,4,1,0
AR ,43,25,58%,17,1,0,0,0
CA ,707,254,36%,256,162,12,23,0
CO ,4,3,75%,0,1,0,0,0
CT ,9,6,67%,2,1,0,0,0
DE ,20,10,50%,7,3,0,0,0
FL ,397,139,35%,220,35,1,2,0
GA ,104,52,50%,49,3,0,0,0
ID ,16,0,—,16,0,0,0,0
IL ,16,5,31%,9,2,0,0,0
IN ,15,4,27%,11,0,0,0,0
KS ,9,4,44%,5,0,0,0,0
KY ,35,5,14%,29,1,0,0,0
LA ,85,55,65%,26,3,0,1,0
MD ,5,4,80%,1,0,0,0,0
MS ,59,32,54%,26,0,0,1,0
MO ,50,21,42%,29,0,0,0,0
MT ,2,0,—,2,0,0,0,0
NE ,12,2,17%,5,5,0,0,0
NV ,77,31,40%,37,8,0,1,0
NH ,1,1,100%,0,0,0,0,0
NM ,2,0,—,2,0,0,0,0
NC ,169,88,52%,67,4,9,1,0
OH ,164,85,52%,73,3,1,2,0
OK ,82,31,38%,42,3,6,0,0
OR ,34,4,12%,25,3,1,0,1
PA ,223,135,61%,68,18,0,2,0
SC ,63,32,51%,29,2,0,0,0
SD ,3,0,,3,0,0,0,0
TN ,90,38,,47,1,2,2,0
TX ,327,127,,100,96,0,4,0
UT ,9,1,,5,2,1,0,0
VA ,13,5,,7,1,0,0,0
WA ,10,4,,6,0,0,0,0
WY ,1,0,,1,0,0,0,0
US Gov. ,61,31,,24,5,1,0,0
Military ,7,4,,2,0,0,1,0
TOTAL ,3266,1358,,1437,390,38,42,1
