State ,Total ,Black ,,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,197,101,51%,92,3,0,1,0
AZ ,125,15,12%,79,26,3,2,0
AR ,38,24,63%,14,0,0,0,0
CA ,741,267,36%,258,179,12,25,0
CO ,4,3,75%,0,1,0,0,0
CT ,11,6,55%,4,1,0,0,0
DE ,18,11,61%,4,3,0,0,0
FL ,412,152,37%,223,34,1,2,0
GA ,94,45,48%,45,4,0,0,0
ID ,12,0,—,12,0,0,0,0
IN ,13,3,23%,10,0,0,0,0
KS ,10,4,40%,6,0,0,0,0
KY ,34,5,15%,29,0,0,0,0
LA ,88,58,66%,26,3,0,1,0
MD ,5,4,80%,1,0,0,0,0
MS ,48,26,54%,21,0,0,1,0
MO ,49,21,43%,28,0,0,0,0
MT ,2,0,—,2,0,0,0,0
NE ,11,2,18%,4,5,0,0,0
NV ,80,29,36%,42,8,0,1,0
NH ,1,1,100%,0,0,0,0,0
NM ,2,0,—,2,0,0,0,0
NC ,159,82,52%,64,4,8,1,0
OH ,143,75,52%,63,3,0,2,0
OK ,54,21,39%,27,3,3,0,0
OR ,36,3,8%,28,3,1,0,1
PA ,193,107,55%,67,17,0,2,0
SC ,50,28,56%,21,1,0,0,0
SD ,3,0,,3,0,0,0,0
TN ,81,36,,40,1,2,2,0
TX ,287,116,,83,84,0,4,0
UT ,9,1,,5,2,1,0,0
VA ,9,4,,4,1,0,0,0
WA ,9,4,,5,0,0,0,0
WY ,1,0,,1,0,0,0,0
US Gov. ,59,28,,23,6,1,1,0
Military ,6,3,,3,0,0,0,0
TOTAL ,3094,1285,,1339,392,32,45,1
