State ,Total ,Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,202,104,94,3,0,1,0
AZ ,123,15,77,26,3,2,0
AR ,34,21,13,0,0,0,0
CA ,745,270,257,180,12,26,0
CO ,3,3,0,0,0,0,0
CT ,12,6,5,1,0,0,0
DE ,18,11,4,3,0,0,0
FL ,404,152,217,32,1,2,0
GA ,92,44,45,3,0,0,0
ID ,12,0,12,0,0,0,0
IN ,14,3,11,0,0,0,0
KS ,10,4,6,0,0,0,0
KY ,34,5,29,0,0,0,0
LA ,85,56,25,3,0,1,0
MD ,4,3,1,0,0,0,0
MS ,48,26,21,0,0,1,0
MO ,42,16,26,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,11,2,4,5,0,0,0
NV ,79,29,41,8,0,1,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,162,82,66,5,8,1,0
OH ,143,76,62,3,0,2,0
OK ,49,20,24,2,3,0,0
OR ,36,3,28,3,1,0,1
PA ,191,105,68,17,0,1,0
SC ,48,27,20,1,0,0,0
SD ,4,0,4,0,0,0,0
TN ,75,33,38,1,1,2,0
TX ,277,116,76,80,0,5,0
UT ,9,1,5,2,1,0,0
VA ,8,3,4,1,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,60,28,23,7,1,1,0
Military ,6,3,3,0,0,0,0
TOTAL ,3055,1272,1319,386,31,46,1
