State ,Total ,Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,194,103,88,2,0,1,0
AZ ,125,16,75,28,3,3,0
AR ,36,20,16,0,0,0,0
CA ,745,270,250,185,11,29,0
CO ,3,3,0,0,0,0,0
DE ,17,10,4,3,0,0,0
FL ,395,153,208,31,1,2,0
GA ,67,34,30,3,0,0,0
ID ,9,0,9,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,34,6,28,0,0,0,0
LA ,76,50,22,3,0,1,0
MS ,48,26,21,0,0,1,0
MO ,26,9,17,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,80,30,39,9,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,155,80,62,5,7,1,0
OH ,142,76,61,3,0,2,0
OK ,48,21,23,2,2,0,0
OR ,34,3,26,3,1,0,1
PA ,175,94,63,16,0,2,0
SC ,41,22,18,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,68,33,32,1,0,2,0
TX ,254,109,68,71,0,6,0
UT ,9,1,5,2,1,0,0
VA ,7,3,4,0,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
TOTAL ,2906,1216,1229,380,27,53,1
