State ,Total,  Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,191,101,87,2,0,1,0
AZ ,125,17,75,27,3,3,0
AR ,32,17,14,1,0,0,0
CA ,746,270,249,188,10,29,0
CO ,3,3,0,0,0,0,0
FL ,374,142,202,27,1,2,0
GA ,61,32,26,3,0,0,0
ID ,8,0,8,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,33,5,28,0,0,0,0
LA ,73,48,21,3,0,1,0
MS ,48,25,21,1,0,1,0
MO ,24,8,16,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,11,3,3,5,0,0,0
NV ,82,30,40,10,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,152,78,61,5,7,1,0
OH ,144,79,60,3,0,2,0
OK ,47,21,22,2,2,0,0
OR ,33,2,26,3,1,0,1
PA ,169,90,61,15,0,3,0
SC ,41,22,18,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,62,29,30,1,0,2,0
TX ,243,106,65,67,0,5,0
UT ,9,1,5,2,1,0,0
VA ,5,2,3,0,0,0,0
WA ,8,3,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,61,26,26,7,1,1,0
Military ,5,2,3,0,0,0,0
TOTAL ,2821,1169,1199,373,26,53,1
