State ,Total ,Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,192,102,87,2,0,1,0
AZ ,124,16,75,27,3,3,0
AR ,37,20,16,1,0,0,0
CA ,743,269,249,186,10,29,0
CO ,3,3,0,0,0,0,0
FL ,391,151,207,30,1,2,0
GA ,63,33,27,3,0,0,0
ID ,9,0,9,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,33,5,28,0,0,0,0
LA ,75,50,21,3,0,1,0
MS ,48,26,21,0,0,1,0
MO ,26,9,17,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,80,30,39,9,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,155,80,62,5,7,1,0
OH ,144,78,61,3,0,2,0
OK ,48,21,23,2,2,0,0
OR ,34,2,27,3,1,0,1
PA ,171,90,63,15,0,3,0
SC ,42,23,18,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,65,32,30,1,0,2,0
TX ,250,110,66,69,0,5,0
UT ,9,1,5,2,1,0,0
VA ,7,3,4,0,0,0,0
WA ,9,4,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,62,28,25,7,1,1,0
Military ,6,3,3,0,0,0,0
TOTAL ,2867,1198,1215,374,26,53,1
