State ,Total,  Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,181,94,85,2,0,0,0
AZ ,121,18,71,25,4,3,0
AR ,32,17,14,1,0,0,0
CA ,736,267,244,187,10,28,0
CO ,3,3,0,0,0,0,0
FL ,351,133,193,22,1,2,0
GA ,54,29,22,3,0,0,0
ID ,9,0,9,0,0,0,0
IN ,9,2,7,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,31,5,26,0,0,0,0
LA ,70,46,20,3,0,1,0
MS ,45,25,18,1,0,1,0
MO ,25,7,18,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,12,3,3,6,0,0,0
NV ,75,28,35,10,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,142,75,54,5,7,1,0
OH ,143,80,58,3,0,2,0
OK ,48,22,21,2,3,0,0
OR ,32,2,25,3,1,0,1
PA ,156,84,55,14,0,3,0
SC ,38,21,16,1,0,0,0
SD ,2,0,2,0,0,0,0
TN ,58,28,27,1,0,2,0
TX ,228,100,62,62,0,4,0
UT ,8,1,5,1,1,0,0
VA ,3,2,1,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,62,26,27,7,1,1,0
Military ,4,2,2,0,0,0,0
TOTAL ,2694,1124,1132,359,28,50,1
